timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.2;20: frq1-.3;;21: frq7-.1;22: frq7-.2;23: frq7-.3;24: frq9+.1;25: frq9+.2;26: frq9+.3;27: frq10+.1;28: frq10+.2;29: frq10+.3
7180;-219.952;-255.996;-227.567;-126.676;-79.291;;-125.492;-102.964;-132.535;-52.604;-4.146;-45.276;20.214;-17.101;-28.305
7190;-218.603;-254.047;-228.477;-122.972;-76.083;;-123.963;-99.396;-132.495;-45.596;7.538;-38.779;17.832;-8.274;-22.968
7200;-216.014;-252.367;-228.228;-117.643;-73.261;;-122.401;-96.308;-131.935;-37.232;17.879;-32.283;14.834;-2.292;-18.846
7210;-212.67;-247.614;-227.182;-112.699;-69.468;;-120.84;-93.647;-131.789;-29.892;28.419;-25.84;11.837;3.69;-15.346
7220;-209.313;-240.956;-226.13;-107.316;-66.532;;-118.766;-91.266;-131.243;-21.917;38.76;-17.117;10.175;11.095;-12.943
7230;-205.483;-234.574;-224.197;-102.229;-63.399;;-116.808;-89.099;-132.254;-15.148;49.025;-7.542;8.513;18.694;-11.848
7240;-201.804;-227.055;-222.594;-97.462;-60.083;;-115.255;-87.132;-132.945;-7.937;57.25;4.073;7.786;25.972;-10.735
7250;-198.192;-219.426;-221.45;-92.337;-57.386;;-113.895;-85.6;-134.673;-0.892;65.454;14.684;6.956;33.713;-9.156
7260;-195.037;-211.986;-220.785;-86.971;-55.386;;-113.019;-84.636;-136.281;7.764;72.458;28.135;7.065;39.054;-6.654
7270;-191.766;-205.691;-220.492;-80.28;-52.875;;-112.335;-84.237;-138.157;15.899;79.028;40.56;6.724;42.419;-4.775
7280;-188.174;-199.316;-220.686;-73.229;-50.066;;-111.528;-84.302;-140.317;24.234;83.517;51.705;6.383;45.185;-2.828
7290;-184.898;-194.312;-220.679;-64.583;-45.326;;-111.872;-84.698;-142.447;33.61;89.735;62.221;5.683;47.108;0.589
7300;-181.806;-190.426;-220.665;-56.098;-40.125;;-111.663;-86.076;-145.174;42.84;95.393;71.697;4.982;50.39;3.895
7310;-178.673;-186.541;-220.691;-45.237;-36.145;;-112.239;-87.534;-148.185;51.79;102.517;80.841;5.215;55.051;9.034
7320;-176.43;-183.281;-220.745;-34.977;-32.246;;-112.81;-88.166;-151.491;60.899;109.281;88.706;5.503;59.328;13.877
7330;-173.665;-180.768;-220.95;-23.509;-27.589;;-113.299;-88.077;-154.974;67.408;116.662;96.702;5.419;64.018;18.108
7340;-170.974;-178.276;-220.276;-11.972;-23.25;;-114.099;-88.568;-158.007;73.855;124.043;101.101;5.229;68.921;22.138
7350;-169.039;-176.341;-218.593;-0.937;-17.148;;-115.291;-89.259;-160.906;80.462;131.141;105.651;5.039;71.622;24.985
7360;-165.657;-173.846;-216.821;10.23;-11.305;;-116.676;-89.571;-163.197;87.455;138.239;106.508;3.975;74.323;27.908
7370;-163.114;-171.284;-214.968;21.237;-2.869;;-119.354;-90.803;-165.388;92.528;145.131;108.662;2.912;76.204;31.803
7380;-160.046;-168.243;-213.028;32.141;5.516;;-122.364;-91.752;-167.048;97.594;152.023;108.153;2.034;78.086;35.457
7390;-156.777;-165.37;-211.27;43.418;15.741;;-125.261;-92.941;-169.048;100.461;156.032;109.349;1.337;80.513;40.07
7400;-154.185;-162.593;-209.553;54.737;25.768;;-128.157;-94.53;-170.157;103.803;160.04;111.41;0.411;82.941;44.884
7410;-151.531;-160.153;-208.139;67.615;37.036;;-129.997;-95.519;-169.883;107.476;164.007;113.523;-0.367;81.368;48.778
7420;-148.593;-157.713;-205.87;80.514;47.506;;-131.679;-96.011;-168.488;111.239;167.967;118.026;-1.145;79.913;53.589
7430;-146.097;-155.87;-202.641;92.334;59.937;;-132.988;-97.503;-166.065;115.53;170.65;123.269;-1.51;76.578;57.12
7440;-142.508;-155.582;-199.495;105.99;71.437;;-134.182;-98.934;-162.521;119.807;174.594;129.494;-1.993;74.323;60.444
7450;-139.475;-155.294;-197.429;118.287;84.018;;-135.698;-99.957;-159.132;121.49;178.11;137.394;-3.061;71.788;65.648
7460;-135.446;-157.601;-195.359;131.316;95.731;;-136.611;-100.974;-155.783;123.372;183.07;145.743;-4.121;67.905;70.921
7470;-131.723;-162.156;-193.971;143.705;108.364;;-138.019;-99.454;-152.448;124.43;186.63;153.452;-5.327;64.182;77.234
7480;-128.836;-167.516;-190.543;156.461;120.971;;-139.497;-97.982;-147.513;125.399;190.916;161.396;-6.505;60.372;83.927
7490;-126.014;-173.614;-187.188;169.338;135.458;;-141.388;-95.539;-143.022;127.298;195.321;167.354;-7.483;57.797;89.659
7500;-120.425;-179.67;-183.687;182.451;150.785;;-143.712;-93.097;-139.051;129.232;199.832;173.661;-7.948;56.463;95.619
7510;-114.284;-184.778;-178.826;195.743;167.712;;-145.243;-90.425;-134.952;131.121;204.342;177.161;-8.516;55.178;100.179
