timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-1+.2;39: wc-1+.3;40: wc-2+.1;41: wc-2+.2;42: wc-2+.3;43: wc-1-.1;44: wc-1-.2;45: wc-1-.3
1500;15.332;-35.499;84.316;20.229;2.972;10.97;116.124;-31.563;9.901;12.292;8.243;108.127;17.259;-5.476;-10.916
1510;17.154;-37.663;80.564;16.873;1.385;10.099;114.466;-31.803;10.953;11.505;7.428;106.178;15.87;-7.036;-11.646
1520;18.873;-39.828;76.785;13.586;0.117;9.509;112.148;-31.043;12.08;10.717;6.812;106.25;15.561;-8.617;-11.612
1530;20.072;-40.473;72.846;11.859;-1.261;8.895;110.029;-29.679;13.234;10.006;5.797;106.321;15.404;-7.286;-10.426
1540;21.126;-41.119;69.61;10.181;-1.759;8.364;108.137;-27.417;13.509;9.501;4.782;106.476;15.051;-5.837;-9.102
1550;21.821;-41.309;65.574;8.502;-2.543;8.837;106.286;-25.377;13.846;8.996;3.767;100.509;13.741;-3.968;-9.145
1560;22.302;-41.499;61.662;6.796;-3.328;9.372;104.441;-23.581;13.822;6.931;2.779;94.542;13.036;-2.161;-9.526
1570;22.492;-42.046;58.19;5.09;-3.017;9.788;102.166;-21.538;13.364;4.866;1.672;88.575;12.644;-0.054;-11.538
1580;22.352;-41.592;53.794;4.541;-2.175;10.615;99.903;-19.287;14.094;3.76;0.564;82.608;12.691;2.214;-13.909
1590;21.178;-40.828;49.399;3.992;-1.458;10.723;95.407;-16.892;14.197;2.654;-0.583;81.23;12.374;3.411;-14.805
1600;19.924;-40.063;44.167;3.443;-0.604;10.519;89.699;-14.498;12.948;1.548;-1.731;79.866;12.255;6.419;-15.881
1610;18.774;-38.633;38.199;2.894;0.029;10.294;83.985;-11.57;12.116;0.447;-3.189;78.502;11.017;8.73;-15.051
1620;16.552;-36.523;31.941;2.428;0.356;10.225;77.07;-8.217;11.284;-0.654;-4.612;78.932;8.966;9.68;-14.103
1630;14.564;-34.509;25.723;1.801;0.683;10.266;68.924;-4.983;10.705;-1.356;-6.636;79.363;6.697;11.166;-12.243
1640;11.506;-32.495;19.498;1.182;2.243;10.932;60.934;-1.946;10.126;-2.058;-8.659;79.793;4.352;9.561;-9.899
1650;9.568;-31.666;12.353;0.37;2.748;12.479;52.85;0.388;9.258;-1.08;-9.763;80.223;2.745;7.2;-6.292
1660;6.924;-30.237;5.25;-0.443;2.921;14.106;45.226;2.644;8.328;-0.102;-10.783;74.782;1.228;3.804;-1.977
1670;4.519;-28.808;-1.359;-1.193;2.895;14.036;37.076;4.069;7.928;0.342;-11.866;69.341;0.23;-0.829;0.171
