timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-2+.1;39: wc-2+.2;40: wc-2+.3;41: wc-1-.1;42: wc-1-.2;43: wc-1-.3;44: wc-2-.1;45: wc-2-.2
1600;-2.15;-24.956;-23.865;19.924;-5.218;13.709;-20.339;4.341;-7.103;1.321;33.079;24.83;3.218;59.392;10.926
1610;-4.433;-24.412;-19.081;17.206;-6.583;12.887;-20.658;4.232;-5.601;0.192;30.375;24.014;4.535;59.488;10.461
1620;-8.436;-23.029;-13.123;14.731;-7.36;12.335;-20.921;4.123;-4.099;-1.288;28.193;22.65;5.819;59.626;9.968
1630;-12.298;-21.908;-8.654;10.196;-6.793;11.837;-20.941;4.106;-2.597;-2.768;26.106;21.753;6.294;60.244;9.476
1640;-16.16;-18.426;-5.646;5.323;-7.876;11.657;-20.197;3.807;-1.364;-4.248;24.006;20.891;6.23;59.978;9.266
1650;-20.029;-14.807;-2.589;3.309;-10.268;11.481;-20.339;3.508;-0.411;-5.728;21.923;20.63;6.234;59.774;10.154
1660;-23.898;-13.971;1.982;1.688;-11.265;11.623;-20.876;4.058;0.542;-6.891;19.083;19.895;7.291;59.57;11.043
1670;-25.207;-13.39;6.429;0.501;-11.957;11.79;-21.688;4.319;1.474;-8.054;16.403;19.527;8.029;57.326;11.883
1680;-26.516;-12.692;11.724;-0.611;-12.672;11.252;-21.903;4.179;2.007;-8.737;15.175;19.262;9.407;54.93;12.483
1690;-26.56;-10.555;16.971;-1.95;-14.679;10.367;-22.574;4.04;2.539;-9.419;12.372;18.908;11.513;52.534;12.772
1700;-28.484;-8.32;22.593;-2.641;-16.714;8.895;-23.246;3.803;3.058;-10.102;10.713;18.48;13.481;50.658;13.062
1710;-23.985;-5.846;28.546;-3.567;-17.099;6.92;-23.437;3.966;3.687;-10.323;10.069;17.931;14.884;47.73;13.365
1720;-20.046;-3.468;29.105;-3.532;-16.997;4.865;-23.615;4.128;3.996;-10.503;8.389;18.036;15.505;44.684;14.229
1730;-15.844;-3.21;29.284;-4.51;-18.097;3.217;-23.579;3.943;4.305;-10.684;6.186;17.658;15.585;41.639;15.099
1740;-16.618;-2.876;30.503;-6.247;-20.326;2.83;-23.739;3.439;4.441;-10.865;4.349;18.197;15.19;39.847;15.97
1750;-17.737;-4.352;31.392;-6.983;-22.415;2.797;-24.439;2.934;4.817;-11.046;2.841;19.2;14.692;37.967;17.137
1760;-18.412;-4.646;33;-7.886;-23.848;2.799;-25.836;2.381;5.192;-10.964;1.72;20.137;14.215;36.087;18.124
1770;-19.033;-5.257;34.712;-7.621;-24.146;1.698;-26.527;2.468;5.574;-10.883;0.772;20.021;14.022;34.207;19.112
1780;-20.072;-3.588;35.863;-6.545;-22.701;0.415;-27.874;1.914;5.942;-10.641;0.127;19.524;14.066;30.814;20.12
1790;-18.917;-1.663;35.538;-6.426;-22.563;-1.172;-29.177;1.451;6.87;-10.4;-1.099;19.148;13.875;27.738;21.928
1800;-16.239;0.141;34.332;-6.739;-21.348;-2.211;-29.807;0.988;7.909;-10.159;-0.755;18.589;13.723;24.662;23.964
1810;-14.63;1.841;33.578;-7.094;-19.883;-3.495;-30.468;0.884;8.948;-9.268;0.661;18.008;14.153;20.156;26
1820;-13.022;3.862;33.694;-7.865;-17.462;-3.8;-31.164;0.719;10.069;-8.314;3.007;18.026;14.639;15.21;28.091
1830;-12.6;5.786;33.197;-8.859;-15.779;-4.094;-31.981;0.988;10.749;-7.361;5.225;18.927;14.869;10.174;28.666
1840;-12.178;7.6;33.412;-9.753;-16.036;-3.748;-33.239;1.257;11.429;-6.408;8.007;19.996;15.621;5.276;29.241
1850;-10.565;8.614;32.108;-9.804;-16.415;-3.902;-35.112;2.214;12.068;-5.455;11.076;20.068;17.428;0.578;29.968
1860;-8.953;9.055;30.299;-9.821;-14.117;-4.277;-35.726;3.171;12.946;-4.502;15.314;19.286;18.423;-4.48;29.215
1870;-5.534;8.897;28.491;-10.117;-11.106;-4.938;-35.723;3.897;13.818;-3.688;19.531;19.09;20.29;-9.579;28.497
1880;-2.115;8.938;26.717;-10.217;-9.223;-5.901;-36.308;4.495;14.69;-2.874;23.283;18.979;20.556;-14.679;27.778
1890;1.873;6.979;26.063;-10.497;-6.146;-6.357;-37.178;5.094;15.603;-2.061;27.328;18.669;21.292;-18.858;27.094
1900;7.221;4.993;25.906;-10.034;-4.388;-6.541;-37.236;4.799;16.568;-1.599;31.628;18.338;22.026;-23.127;26.683
1910;12.534;4.96;24.189;-9.572;-2.695;-6.399;-36.872;3.792;17.534;-0.937;34.771;18.047;21.683;-27.396;26.272
1920;20.066;4.899;22.396;-10.11;-0.121;-6.088;-36.219;2.785;18.499;-0.447;38.127;17.272;21.145;-30.345;25.861
1930;27.081;5.004;18.037;-11.263;2.433;-5.625;-36.647;1.778;19.404;0.043;41.09;16.377;20.368;-33.005;24.157
1940;33.807;4.869;13.554;-12.123;4.626;-5.342;-36.806;0.909;20.309;0.532;46.47;15.691;18.33;-35.342;22.674
1950;41.098;4.948;8.752;-12.276;7.356;-5.181;-36.781;0.2;21.214;1.022;50.331;14.746;16.277;-37.679;21.192
1960;42.288;3.386;3.597;-12.463;9.243;-5.699;-36.909;-0.509;22.181;1.512;52.564;13.555;14.905;-39.094;19.957
1970;43.299;2.225;4.394;-13.65;10.539;-5.589;-37.171;-0.495;21.647;1.913;54.941;12.439;14.985;-41.337;16.69
1980;45.13;1.223;5.109;-14.829;10.855;-5.032;-37.563;-0.161;21.113;2.314;56.887;11.236;14.986;-43.579;13.422
1990;49.378;0.27;2.363;-15.728;11.16;-3.895;-37.535;0.172;20.579;2.716;60.175;9.274;14.352;-46.077;10.154
2000;52.306;-0.291;1.058;-16.851;10.935;-2.992;-37.345;0.404;17.782;4.08;64.858;7.354;13.605;-47.975;6.632
2010;55.305;-0.749;0.39;-17.884;11.047;-1.934;-36.85;0.636;14.985;5.444;68.726;5.483;12.859;-49.977;2.937
2020;57.943;-1.207;-0.394;-20.717;10.575;-1.527;-36.537;0.228;12.188;6.594;71.561;4.741;12.343;-51.819;-0.759
2030;60.972;-3.585;-1.448;-25.222;9.265;-1.819;-36.182;-0.888;9.57;7.745;71.546;3.818;11.524;-52.542;-4.192
2040;61.161;-6.287;-3.469;-29.156;9.074;-2.131;-36.612;-1.956;6.112;8.895;71.143;2.254;10.473;-51.905;-6.585
2050;59.295;-7.749;-5.028;-31.703;8.585;-2.339;-37.303;-3.023;2.654;10.046;68.975;0.909;8.389;-51.64;-8.543
2060;61.109;-9.508;-5.64;-33.055;8.4;-2.057;-37.53;-4.381;-0.804;10.596;67.948;0.317;6.902;-51.375;-10.502
2070;62.868;-12.364;-6.487;-33.626;6.399;-2.77;-37.41;-5.793;-3.81;10.912;66.949;-0.788;5.065;-52.07;-12.337
2080;66.106;-15.386;-6.443;-34.183;4.957;-3.483;-37.125;-7.64;-6.775;11.228;66.297;-2.846;3.297;-53.221;-13.137
2090;65.892;-18.422;-6.461;-34.494;4.33;-4.788;-36.778;-9.327;-9.741;11.481;65.694;-4.8;1.119;-54.371;-13.937
2100;65.919;-21.538;-7.211;-32.946;4.138;-5.604;-36.25;-11.014;-12.356;11.735;64.029;-6.106;-1.745;-55.521;-15.006
2110;64.913;-25.081;-6.582;-31.672;3.428;-6.294;-36.801;-12.79;-15.411;10.029;60.331;-6.96;-4.099;-56.174;-15.354
2120;63.455;-28.465;-7.404;-30.743;1.077;-6.619;-37.203;-14.047;-18.466;8.323;57.164;-8.27;-4.913;-56.764;-15.752
2130;59.88;-31.234;-7.463;-31.074;-0.396;-6.814;-36.859;-15.303;-21.625;6.437;55.815;-9.814;-5.559;-57.674;-16.149
2140;55.399;-31.044;-7.823;-30.686;-2.797;-6.786;-36.008;-16.532;-23.677;4.552;54.226;-11.632;-6.395;-58.545;-16.484
2150;50.869;-30.585;-8.072;-30.374;-3.989;-7.124;-35.222;-16.361;-25.05;2.666;50.925;-13.913;-7.567;-59.181;-17.397
2160;46.774;-29.234;-7.96;-29.883;-3.781;-8.061;-34.512;-16.19;-26.422;1.821;49.777;-16.062;-8.429;-59.361;-18.31
2170;42.866;-28.16;-6.274;-29.686;-3.655;-9.059;-33.854;-15.957;-27.349;0.975;47.593;-16.986;-8.361;-59.542;-19.223
2180;39.255;-27.023;-4.429;-30.451;-2.97;-9.582;-32.894;-15.084;-28.447;0.357;45.455;-17.869;-8.85;-60.246;-20.276
2190;36.248;-27.287;-2.714;-29.719;-3.086;-9.326;-31.09;-14.411;-29.545;-0.212;42.233;-19.032;-9.594;-60.193;-21.494
