timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: cybdIm1+.1;05: cybdIm1+.2;06: cybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
2280;215.537;245.003;151.433;203.545;268.185;233.924;63.386;125.261;70.428;-7.501;-0.63;18.919;-75.593;-19.204;100.04
2290;227.593;251.222;163.572;213.316;289.69;252.604;73.512;126.156;78.27;-2.961;5.21;22.303;-101.221;-39.036;66.117
2300;240.371;259.706;174.905;221.437;310.058;269.877;85.236;127.422;86.912;1.607;10.65;26.221;-126.28;-58.175;31.749
2310;252.228;268.352;184.88;226.324;332.439;285.97;95.211;128.688;94.92;5.996;16.021;30.261;-151.379;-77.141;-3.588
2320;263.836;276.454;193.308;228.611;357.808;299.269;104.858;128.472;103.743;11.465;21.251;31.269;-176.604;-94.381;-37.959
2330;275.225;284.462;199.917;232.425;379.403;308.663;110.843;127.012;110.607;18.279;27.641;35.048;-202.092;-109.106;-70.059
2340;286.268;291.903;207.315;236.752;397.527;316.331;114.491;125.277;114.698;26.727;33.468;37.952;-225.473;-120.673;-100.21
2350;294.774;299.485;215.486;239.913;414.299;324.029;120.157;122.022;119.909;35.286;37.134;43.692;-245.21;-131.861;-127.957
2360;300.669;306.237;221.901;239.36;426.862;331.611;125.463;119.572;125.194;42.692;40.786;52.221;-259.75;-141.647;-153.006
2370;305.004;312.703;227.601;236.069;438.291;338.625;131.88;119.92;124.062;46.539;44.523;59.724;-270.99;-150.806;-177.763
2380;308.568;318.854;233.635;232.822;446.959;345.814;137.892;120.268;122.154;48.046;49.219;65.651;-278.657;-158.145;-201.568
2390;309.852;325.083;239.557;229.702;452.378;351.352;143.443;120.72;121.229;49.559;52.897;70.67;-284.695;-163.938;-222.499
