timepoints (min);31: frq9,- -1;32: frq9,- -2;33: frq9,- -3;34: frq10,- -1;35: frq10,- -2;36: frq10,- -3;37: wc-1,+ -1;38: wc-1,+ -3;39: wc-2,+ -1;40: wc-2,+ -2;41: wc-2,+ -3;42: wc-1,- -1;43: wc-1,- -2;average;45: wc-2,- -1
1930;-50.226;-88.716;-39.061;-72.24;-33.127;-82.359;-106.116;-121.011;-18.345;-44.658;-30.394;14.615;-0.746;-0.746;-4.352
1940;-48.703;-88.633;-38.492;-72.088;-33.943;-87.673;-102.201;-120.04;-16.579;-45.326;-29.196;13.75;-1.73;-1.73;-4.95
1950;-47.319;-86.03;-39.077;-73.083;-32.801;-92.953;-97.688;-118.499;-14.654;-45.993;-28.383;12.981;-3.417;-3.417;-6.641
1960;-46.328;-81.321;-39.214;-72.906;-32.239;-97.273;-93.16;-116.628;-12.343;-46.654;-30.59;12.211;-6.643;-6.643;-7.952
1970;-46.497;-75.572;-39.124;-73.101;-31.593;-101.952;-88.968;-114.983;-9.957;-48.477;-32.914;10.952;-11.466;-11.466;-8.367
1980;-47.126;-69.054;-37.927;-70.679;-31.819;-107.51;-85.771;-113.021;-7.571;-49.101;-34.378;9.241;-14.763;-14.763;-8.865
1990;-49.474;-62.48;-36.539;-67.953;-31.033;-113.193;-82.681;-110.472;-5.385;-49.724;-35.954;7.099;-16.087;-16.087;-10.303
2000;-51.432;-59.306;-34.164;-64.588;-30.254;-119.076;-80.396;-107.501;-2.201;-50.619;-37.491;4.902;-19.706;-19.706;-11.443
2010;-53.52;-55.974;-30.803;-61.139;-31.248;-124.69;-77.993;-105.708;0.982;-51.674;-39.378;2.457;-21.659;-21.659;-12.506
2020;-53.632;-49.761;-26.854;-59.251;-34.207;-129.623;-75.886;-104.862;4.193;-52.73;-41.52;-0.659;-24.338;-24.338;-12.964
2030;-52.637;-39.799;-22.225;-59.488;-37.124;-134.415;-74.47;-103.923;5.604;-54.232;-44.215;-4.386;-25.732;-25.732;-13.982
2040;-51.927;-29.857;-18.81;-59.608;-40.204;-138.807;-72.919;-102.983;7.229;-55.768;-47.062;-8.141;-29.835;-29.835;-14.924
2050;-50.429;-19.131;-15.395;-62.226;-41.763;-143.117;-71.876;-101.677;8.854;-57.105;-49.709;-11.655;-33.068;-33.068;-16.026
2060;-49.53;-9.586;-13.31;-64.534;-43.356;-147.154;-70.306;-100.412;9.519;-58.441;-51.814;-13.851;-34.749;-34.749;-16.737
2070;-49.55;-0.433;-10.978;-67.801;-44.957;-148.192;-68.534;-99.189;10.183;-59.778;-56.439;-15.446;-34.767;-34.767;-17.495
2080;-49.815;6.575;-8.212;-70.397;-46.81;-149.898;-67.927;-98.356;11.069;-60.994;-59.641;-16.799;-34.808;-34.808;-17.913
2090;-47.462;13.715;-4.448;-72.483;-47.222;-150.004;-66.959;-97.33;11.954;-62.225;-63.01;-17.819;-36.966;-36.966;-18.491
2100;-45.523;20.854;-0.29;-73.819;-46.801;-149.883;-65.28;-95.822;12.52;-63.462;-65.138;-18.237;-39.435;-39.435;-19.076
2110;-40.752;28.034;3.269;-74.008;-45.521;-149.761;-62.568;-94.377;12.996;-64.339;-65.673;-18.388;-41.35;-41.35;-20.083
2120;-35.85;34.688;7.063;-73.116;-45.001;-149.364;-59.703;-92.543;13.472;-64.217;-65.968;-18.149;-43.342;-43.342;-20.641
2130;-29.139;38.806;9.132;-70.466;-44.55;-149.687;-56.583;-90.172;13.948;-64.115;-65.222;-17.396;-44.583;-44.583;-21.72
2140;-24.069;42.473;12.361;-67.658;-44.946;-149.768;-53.383;-86.527;14.801;-64.026;-67.036;-17.836;-46.098;-46.098;-22.463
2150;-18.957;45.101;14.31;-63.13;-43.99;-149.33;-49.486;-83.006;15.684;-66.578;-68.85;-19.124;-46.132;-46.132;-23.999
2160;-13.926;47.735;18.524;-57.679;-43.034;-147.826;-44.299;-80.039;16.567;-67.49;-71.308;-20.706;-46.084;-46.084;-25.554
2170;-8.818;49.53;22.834;-53.428;-38.399;-144.243;-39.052;-77.372;17.69;-68.339;-72.366;-22.488;-45.956;-45.956;-26.91
2180;-2.23;51.83;31.097;-48.586;-35.422;-138.639;-31.939;-73.938;18.812;-66.909;-72.702;-24.182;-46.538;-46.538;-27.626
2190;4.474;57.388;39.386;-44.152;-31.806;-133.516;-23.605;-71.19;20.073;-65.479;-73.119;-25.785;-47.041;-47.041;-28.028
2200;10.334;62;49.101;-38.997;-32.019;-127.16;-14.937;-68.913;21.237;-64.269;-73.494;-27.341;-46.785;-46.785;-27.295
2210;16.553;65.777;58.863;-33.291;-31.422;-120.686;-6.273;-66.811;22.001;-62.499;-70.97;-28.959;-44.912;-44.912;-26.306
2220;23.524;68.513;66.786;-27.705;-31.502;-114.382;0.182;-64.509;22.876;-59.263;-68.445;-29.632;-43.474;-43.474;-25.557
2230;30.535;68.392;73.601;-22.105;-30.299;-107.748;6.963;-61.426;23.75;-56.028;-66.08;-28.279;-42.037;-42.037;-24.781
2240;37.855;68.27;78.297;-16.185;-30.117;-103.077;13.837;-58.022;24.625;-53.13;-63.194;-26.891;-39.647;-39.647;-23.601
2250;44.375;66.436;82.059;-11.354;-29.742;-97.768;22.608;-55.708;24.619;-50.152;-60.419;-25.517;-36.179;-36.179;-22.435
2260;51.081;64.601;84.535;-4.39;-28.314;-93.523;28.6;-52.513;24.614;-47.029;-56.914;-24.643;-32.712;-32.712;-21.418
2270;56.77;60.968;86.561;2.859;-25.434;-89.068;35.172;-49.132;24.208;-44.113;-53.63;-23.008;-28.588;-28.588;-20.45
2280;61.545;57.852;88.206;12.406;-22.754;-83.532;42.316;-46.31;24.643;-40.757;-48.996;-21.306;-24.905;-24.905;-19.281
2290;66.066;54.695;90.662;20.468;-19.328;-75.636;50.258;-43.495;25.077;-37.401;-44.361;-20.599;-21.222;-21.222;-18.106
2300;70.083;52.441;92.67;30.334;-16.978;-67.979;58.019;-41.448;25.401;-34.957;-39.954;-19.979;-18.313;-18.313;-16.326
2310;74.36;51.368;91.757;39.501;-15.028;-59.288;64.123;-39.605;25.726;-32.748;-36.954;-20.32;-15.888;-15.888;-14.607
2320;79.557;49.455;90.61;48.906;-13.855;-51.374;69.279;-37.161;25.994;-30.538;-33.651;-19.643;-13.463;-13.463;-13.36
2330;85.953;50.12;89.068;58.92;-12.434;-42.761;74.385;-33.068;25.359;-27.648;-31.992;-21.326;-10.8;-10.8;-12.127
2340;90.091;50.079;87.526;67.899;-12.452;-34.981;80.006;-29.079;24.723;-24.625;-30.332;-23.259;-7.63;-7.63;-11.635
