timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;;06: bdA-.1;07: bdA-.2;08: bdA-.3;09: crybdIm1-.1;10: crybdIm1-.2;11: crybdIm1-.3;12: frq1+.1;13: frq1+.2;14: frq1+.3
2340;-267.912;-195.538;-212.203;66.648;48.446;;-172.152;-230.137;-177.898;-45.457;-205.193;-140.041;-149.742;-187.168;-250.588
2350;-266.523;-195.781;-211.385;71.083;38.189;;-168.828;-227.342;-176.353;-47.56;-204.57;-140.16;-139.752;-172.782;-240.44
2360;-264.571;-196.377;-210.206;75.517;28.174;;-165.703;-223.994;-173.11;-49.829;-203.17;-140.317;-129.01;-155.942;-229.463
2370;-262.568;-197.208;-209.622;79.192;18.097;;-162.807;-220.73;-169.868;-52.098;-202.05;-140.243;-118.81;-140.396;-218.983
2380;-260.683;-197.815;-209.727;83.108;8.019;;-159.03;-215.659;-166.519;-54.367;-199.97;-140.088;-108.452;-122.17;-207.513
2390;-259.189;-197.61;-209.314;90.263;-1.527;;-156.164;-210.61;-164.025;-56.218;-197.225;-139.983;-98.281;-101.634;-194.633
2400;-257.901;-197.935;-207.825;97.419;-11.059;;-152.126;-205.066;-162.103;-58.069;-193.64;-139.312;-84.952;-80.734;-180.617
2410;-255.705;-197.778;-207.037;103.501;-20.028;;-147.287;-199.243;-159.679;-57.789;-189.814;-137.775;-71.048;-57.124;-164.433
2420;-251.821;-197.694;-205.839;111.221;-29.65;;-143.146;-194.261;-155.888;-57.509;-186.054;-135.757;-56.308;-30.862;-147.179
2430;-247.702;-197.51;-205.327;118.941;-39.09;;-140.228;-188.417;-153.03;-57.229;-183.145;-134.608;-40.261;-2.702;-129.328
2440;-243.461;-196.834;-204.215;126.661;-48.07;;-137.309;-183.052;-147.739;-56.215;-182.379;-135.244;-21.548;25.054;-110.502
2450;-239.45;-196.29;-202.993;131.894;-56.927;;-133.731;-177.175;-142.448;-55.201;-181.974;-135.715;-2.819;53.756;-91.421
2460;-235.873;-195.548;-201.764;136.255;-63.676;;-129.777;-169.927;-137.239;-56.041;-180.498;-136.727;18.039;82.709;-71.541
2470;-232.276;-194.914;-200;140.617;-70.425;;-125.822;-163.131;-130.509;-56.881;-177.927;-136.603;40.77;112.36;-50.501
2480;-229.022;-194.822;-197.67;144.978;-76.168;;-121.914;-155.33;-123.779;-57.721;-174.396;-136.575;64.869;142.401;-28.626
2490;-226.167;-194.309;-195.061;148.996;-81.946;;-118.966;-149.448;-117.492;-58.281;-171.654;-136.331;88.767;172.745;-6.223
2500;-224.156;-193.012;-192.899;153.64;-87.167;;-116.017;-144.072;-111.036;-58.841;-168.749;-135.781;111.417;201.548;17.619
2510;-221.29;-192.037;-190.611;158.284;-91.201;;-113.517;-139.419;-104.806;-58.258;-165.197;-135.923;133.665;231.782;42.462
2520;-218.615;-191.019;-188.003;162.371;-95.088;;-110.698;-134.167;-99.59;-57.674;-161.061;-137.237;155.934;262.33;66.486
2530;-215.206;-189.502;-186.022;167.382;-97.777;;-107.559;-128.855;-95.063;-57.091;-157.004;-137.639;177.359;291.926;89.85
2540;-211.843;-187.284;-184.241;172.393;-100.272;;-103.814;-123.458;-91.753;-55.957;-154.121;-138.308;197.746;320.895;112.836
2550;-207.203;-185.321;-182.538;177.404;-100.651;;-98.909;-118.487;-88.244;-54.823;-151.35;-138.6;216.263;346.497;136.537
2560;-201.088;-183.254;-180.786;182.388;-101.03;;-93.767;-113.44;-84.735;-52.917;-148.419;-139.239;232.742;370.302;160.385
2570;-193.389;-180.734;-178.782;187.898;-101.284;;-87.08;-107.03;-80.683;-51.011;-144.749;-139.76;249.295;392.928;183.567
2580;-183.161;-178.081;-176.023;193.408;-101.641;;-80.033;-100.72;-76.386;-49.105;-141.599;-139.342;265.676;413.44;205.706
2590;-173.23;-174.251;-172.945;198.919;-102.397;;-72.981;-92.597;-72.09;-48.108;-137.099;-137.411;282.655;431.408;227.25
2600;-163.887;-168.484;-171.086;204.196;-101.905;;-66.459;-84.354;-68.034;-47.11;-133.218;-135.371;298.912;445.792;247.781
2610;-156.019;-161.874;-169.361;208.737;-101.301;;-59.938;-77.85;-65.657;-45.754;-131.697;-132.846;312.869;455.945;266.548
2620;-148.201;-154.717;-167.011;213.277;-100.023;;-53.487;-71.048;-61.258;-44.399;-130.039;-131.335;326.435;465.513;284.743
2630;-139.203;-148.877;-163.425;217.818;-98.581;;-45.673;-63.988;-55.286;-43.043;-128.237;-129.236;338.753;471.285;301
2640;-130.629;-144.458;-160.106;219.353;-97.31;;-37.859;-56.906;-49.066;-41.11;-122.316;-127.097;351.106;475.117;314.745
2650;-122.218;-139.912;-156.236;219.309;-96.04;;-30.807;-47.674;-42.812;-39.178;-117.869;-124.799;358.861;476.903;326.806
2660;-113.395;-136.217;-152.559;219.265;-94.137;;-22.167;-38.814;-31.913;-38.259;-114.126;-122.375;364.897;473.617;336.817
2670;-103.487;-131.974;-147.714;217.996;-92.24;;-13.527;-27.804;-21.014;-37.341;-110.01;-119.753;368.604;466.083;345.044
2680;-92.088;-127.23;-142.023;215.655;-89.884;;-2.694;-15.834;-8.116;-36.422;-105.601;-117.262;370.051;454.517;351.116
2690;-81.919;-122.749;-136.553;213.315;-87.657;;8.058;-3.628;3.051;-34.385;-97.073;-113.077;368.57;442.174;355.596
2700;-71.95;-117.559;-131.291;210.974;-85.375;;18.29;9.47;14.218;-32.348;-88.846;-107.005;366.585;427.062;358.687
