timepoints (min);31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.3;41: wc-1-.1;42: wc-1-.3;43: wc-2-.1;44: wc-2-.2;45: wc-2-.3
2230;-21.298;37.046;38.698;-24.208;11.425;-68.043;-12.243;-57.854;-134.903;-134.177;13.913;19.752;26.397;-10.543;49.883
2240;-18.204;36.283;39.513;-24.556;11.446;-69.931;-13.563;-59.139;-138.163;-140.652;13.799;19.204;25.244;-9.91;44.419
2250;-15.96;36.361;39.654;-23.942;11.061;-71.739;-14.952;-60.397;-139.964;-147.004;13.622;19.019;23.859;-9.237;39.073
2260;-12.756;35.099;39.968;-22.928;10.116;-73.423;-16.27;-60.458;-140.297;-153.342;13.314;18.834;22.474;-8.564;33.167
2270;-10.306;35.583;40.556;-20.699;9.411;-75.011;-17.356;-60.337;-140.705;-160.073;13.167;18.534;21.138;-7.863;27.268
2280;-9.308;36.392;40.582;-18.47;9.196;-76.265;-18.469;-59.538;-140.555;-166.145;13.599;18.233;19.801;-7.218;19.528
2290;-7.905;38.207;39.974;-14.392;8.13;-77.179;-19.201;-57.982;-141.032;-169.51;14.166;17.771;17.934;-6.572;11.61
2300;-8.223;41.583;39.303;-10.313;7.292;-78.182;-20.468;-56.312;-140.982;-172.448;14.633;17.309;16.066;-5.247;5.091
2310;-7.782;44.266;40.099;-7.492;6.743;-79.058;-21.803;-54.452;-139.132;-174.804;14.575;17.581;14.719;-3.921;-1.545
2320;-7.003;47.459;39.077;-5.956;6.657;-79.594;-23.745;-51.662;-136.894;-176.694;14.058;18.179;13.371;-2.52;-6.061
2330;-5.823;50.658;39.23;-6.28;6.706;-79.702;-25.586;-48.297;-134.982;-177.291;13.949;18.418;11.474;-1.119;-10.639
2340;-4.32;53.203;36.881;-6.348;6.948;-79.152;-27.379;-44.302;-133.819;-176.939;14.317;16.429;9.378;0.283;-15.28
2350;-2.737;56.222;34.629;-7.563;7.21;-78.788;-29.033;-39.937;-131.823;-175.095;15.239;14.44;7.288;0.244;-20.088
2360;-1.171;58.127;30.732;-8.052;7.778;-78.617;-30.676;-35.594;-129.211;-171.108;15.586;7.75;5.199;0.206;-24.335
2370;0.555;60.087;26.699;-8.542;8.058;-78.632;-32.091;-31.466;-126.814;-165.516;15.556;1.061;3.397;0.174;-28.298
