timepoints (min);31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.2;41: wc-2+.3;42: wc-1-.1;43: wc-1-.2;44: wc-1-.3;45: wc-2-.1
2100;10.847;10.495;36.975;-10.996;7.887;-36.258;-8.258;-0.994;2.716;3.012;-33.206;-16.063;-1.549;-14.08;-5.157
2110;10.328;8.03;33.066;-12.505;6.788;-39.4;-8.884;-1.477;3.174;1.833;-31.67;-16.266;-5.233;-13.847;-5.75
2120;10.69;3.833;29.578;-13.254;6.161;-41.422;-10.007;-2.335;3.632;1.157;-30.135;-17.349;-7.063;-13.63;-6.343
2130;10.782;-0.364;25.617;-14.023;6.084;-41.977;-10.748;-3.601;3.73;0.481;-27.16;-17.687;-9.741;-13.244;-7.051
2140;11.716;-3.841;23.588;-14.359;5.579;-42.843;-11.817;-3.84;3.828;-0.194;-24.095;-16.44;-12.167;-13.528;-7.759
2150;12.364;-7.498;21.316;-14.79;4.639;-44.757;-13.182;-2.44;3.926;-1.288;-21.35;-15.92;-14.268;-13.836;-8.466
2160;12.992;-10.315;19.734;-15.257;3.695;-45.866;-14.548;-1.055;4.263;-1.972;-18.606;-15.4;-15.007;-14.037;-9.163
2170;12.499;-12.986;18.779;-15.963;2.752;-46.822;-16.021;-0.222;4.601;-2.657;-16.581;-14.957;-15.316;-13.345;-9.859
2180;12.262;-13.996;16.359;-16.8;1.839;-47.863;-16.713;0.89;4.912;-3.341;-14.749;-15.2;-17.699;-12.001;-10.556
2190;11.539;-14.937;13.894;-17.673;-0.039;-49.137;-16.708;1.885;5.277;-4.132;-13.117;-17.268;-21.443;-11.517;-11.677
2200;10.982;-16.473;11.273;-18.615;-2;-49.949;-17.094;0.844;5.243;-5.073;-11.486;-18.89;-24.623;-11.363;-12.799
2210;10.873;-16.857;9.963;-19.474;-2.628;-49.281;-17.48;1.048;5.208;-6.014;-11.372;-20.512;-24.319;-11.594;-13.92
2220;10.924;-15.072;8.59;-19.655;-3.255;-49.655;-19.961;2.877;5.174;-6.954;-11.342;-22.252;-23.199;-11.717;-14.385
2230;10.899;-11.647;6.141;-19.774;-3.601;-50.395;-22.354;4.837;5.139;-7.961;-10.352;-24.199;-23.157;-11.589;-14.829
2240;9.898;-8.636;3.643;-19.252;-3.674;-50.114;-24.044;5.461;5.585;-9.175;-8.081;-25.701;-25.095;-10.663;-15.273
2250;8.994;-6.73;-2.338;-18.607;-4.589;-49.604;-25.418;5.473;6.161;-10.389;-5.687;-26.575;-27.334;-9.188;-14.975
2260;8.681;-5.317;-8.719;-17.913;-4.465;-50.309;-26.792;5.916;6.524;-11.603;-4.48;-27.45;-29.564;-8.854;-15.037
2270;8.848;-6.481;-15.72;-17.214;-4.541;-51.25;-27.451;4.15;7.687;-12.338;-3.273;-27.724;-28.552;-9.055;-15.099
2280;8.905;-7.339;-19.181;-16.39;-4.394;-51.494;-29.181;2.385;8.85;-12.535;-1.506;-27.306;-27.466;-9.724;-15.092
2290;9.881;-7.265;-22.641;-15.367;-4.288;-51.481;-29.757;0.132;10.012;-12.732;0.433;-26.659;-27.261;-11.234;-15.028
2300;11.59;-7.583;-25.943;-14.454;-4.894;-50.91;-30.141;-1.095;11.175;-12.93;1.503;-27.04;-28.057;-12.17;-14.963
2310;13.908;-7.186;-30.606;-13.72;-5.396;-50.095;-30.524;-3.032;11.698;-13.05;2.574;-27.421;-27.644;-12.777;-14.753
2320;16.172;-6.534;-35.999;-12.505;-5.421;-49.317;-29.927;-5.265;12.234;-12.127;2.924;-28.108;-29.258;-12.822;-14.657
2330;18.382;-4.761;-39.099;-11.4;-4.695;-48.938;-28.818;-7.615;12.716;-11.204;3.281;-27.684;-30.087;-13.269;-14.56
2340;19.312;-3.41;-42.131;-10.135;-3.97;-49.153;-29.077;-11.16;13.197;-10.281;3.479;-26.559;-29.572;-13.628;-14.463
2350;19.097;-2.738;-44.76;-8.519;-1.498;-48.651;-29.472;-14.378;14.119;-9.469;3.676;-26.767;-30.119;-14.005;-14.503
2360;18.414;-2.059;-47.748;-6.909;1.019;-47.308;-29.866;-16.356;15.04;-9.146;3.713;-26.975;-30.291;-14.017;-14.543
2370;16.474;-0.193;-50.735;-5.811;3.777;-46.142;-29.67;-18.448;15.961;-8.823;3.743;-26.601;-33.47;-14.086;-14.583
2380;14.356;1.859;-52.102;-4.623;5.601;-44.903;-29.27;-20.775;17.243;-8.501;2.334;-26.39;-36.974;-14.417;-13.72
2390;11.477;3.272;-54.324;-3.916;7.426;-42.968;-29.636;-23.612;18.428;-8.146;0.924;-27.921;-39.077;-14.697;-12.857
2400;7.999;3.931;-55.97;-3.491;8.513;-40.414;-30.388;-25.964;19.743;-7.519;0.154;-28.175;-41.775;-14.737;-11.993
2410;7.295;3.338;-58.217;-3.286;9.52;-38;-31.139;-27.821;21.059;-6.891;-0.622;-28.429;-43.63;-14.348;-10.063
2420;7.276;5.317;-60.077;-2.937;10.632;-35.888;-31.039;-29.87;21.855;-6.263;-0.679;-28.932;-46.088;-14.531;-8.134
2430;8.688;6.894;-60.748;-2.65;11.677;-33.56;-30.52;-31.982;22.651;-6.377;-0.735;-28.723;-46.458;-15.324;-6.204
2440;8.621;10.302;-61.108;-1.683;13.672;-29.993;-30.254;-33.68;23.447;-6.306;-0.124;-27.206;-45.167;-16.317;-5.553
2450;8.56;12.728;-61.459;-0.743;15.919;-26.356;-29.4;-34.341;24.643;-6.236;0.383;-28.406;-42.128;-16.512;-4.847
2460;7.433;14.454;-61.01;0.447;17.206;-24.455;-28.546;-35.044;25.839;-6.166;2.451;-29.606;-42.628;-15.999;-4.141
2470;5.327;16.497;-58.676;1.103;17.488;-22.177;-26.225;-35.524;27.062;-6.663;4.359;-29.668;-44.45;-15.661;-4.731
2480;4.468;16.617;-54.134;1.877;16.521;-19.017;-24.018;-36.359;28.148;-7.068;6.232;-27.255;-47.21;-14.723;-5.597
2490;4.248;17.012;-49.447;1.331;15.48;-16.909;-21.622;-36.143;28.833;-7.472;6.646;-25.294;-49.023;-14.899;-6.463
