timepoints (min);01: bdA,+ -1;02: bdA,+ -2;03: bdA,+ -3;04: crybdIm1,+ -1;05: crybdIm1,+ -2;06: crybdIm1,+ -3;07: bdA,- -1;08: bdA,- -2;09: bdA,- -3;10: crybdIm1,- -1;11: crybdIm1,- -2;12: crybdIm1,- -3;13: frq1,+ -1;14: frq1,+ -2;15: frq1,+ -3
12700;-222.092;-142.956;-172.247;-108.007;-101.317;-105.91;-83.029;-187.628;-148.284;-124.189;-132.633;-174.204;0;0;0
12710;-214.532;-138.821;-169.615;-103.207;-95.517;-100.566;-81.172;-186.763;-148.978;-124.243;-132.694;-175.284;0;0;0
12720;-206.897;-135.966;-166.99;-98.455;-89.717;-95.31;-78.199;-186.218;-150.206;-125.354;-133.279;-175.954;0;0;0
12730;-199.796;-132.979;-163.73;-93.683;-83.862;-89.986;-75.052;-185.339;-153.132;-126.705;-133.11;-176.625;0;0;0
12740;-192.059;-132.28;-160.575;-88.91;-77.848;-84.662;-74.615;-184.241;-156.415;-128.179;-133.441;-176.963;0;0;0
12750;-182.676;-131.534;-157.646;-83.938;-71.814;-79.241;-74.495;-182.88;-159.041;-129.057;-132.394;-177.156;0;0;0
12760;-173.171;-131.501;-155.065;-78.793;-65.779;-73.883;-74.593;-180.941;-161.233;-130.154;-130.934;-177.188;0;0;0
12770;-161.446;-132.095;-152.574;-73.621;-59.883;-68.717;-74.276;-179.116;-163.543;-129.647;-129.459;-175.672;0;0;0
12780;-150.521;-133.142;-150.183;-68.448;-53.979;-63.552;-73.697;-177.142;-166.663;-129.112;-127.79;-174.018;0;0;0
12790;-137.996;-135.098;-147.945;-63.255;-48.324;-58.469;-73.076;-175.938;-169.543;-129.131;-125.97;-170.203;0;0;0
12800;-126.59;-137.019;-145.593;-57.938;-42.669;-53.29;-72.165;-175.561;-172.05;-129.061;-123.945;-165.767;0;0;0
12810;-113.222;-139.981;-143.37;-52.621;-37.172;-48.421;-71.615;-172.792;-174.436;-129.655;-122.43;-162.411;0;0;0
12820;-98.694;-143.007;-140.826;-47.276;-31.8;-43.552;-69.775;-169.563;-176.101;-129.837;-120.677;-160.001;0;0;0
12830;-84.2;-146.105;-137.872;-42.048;-26.793;-38.49;-68.004;-167.721;-176.606;-130.702;-119.044;-157.247;0;0;0
12840;-68.561;-148.523;-135.521;-36.972;-21.786;-33.497;-66.399;-166.248;-177.494;-131.619;-117.252;-154.285;0;0;0
12850;-53.963;-150.888;-132.681;-31.897;-17.462;-28.503;-65.131;-164.204;-178.537;-132.178;-114.607;-150.428;0;0;0
12860;-38.807;-152.626;-130.117;-26.89;-13.862;-23.869;-64.543;-162.738;-179.739;-132.897;-111.059;-147.49;0;0;0
12870;-24.931;-153.75;-125.972;-22.034;-10.8;-19.572;-63.396;-159.593;-179.603;-133.291;-107.999;-143.863;0;0;0
12880;-11.291;-154.953;-120.937;-17.552;-7.738;-15.552;-62.248;-155.568;-179.466;-133.197;-105.218;-140.237;0;0;0
12890;1.006;-156.033;-115.021;-13.069;-5.076;-11.531;-60.211;-150.861;-178.097;-133.087;-102.223;-135.997;0;0;0
12900;13.121;-156.36;-108.863;-8.738;-2.993;-7.648;-58.098;-145.382;-176.066;-133.477;-99.789;-132.095;0;0;0
12910;25.743;-155.917;-102.201;-4.372;-1.331;-3.752;-55.738;-140.836;-173.825;-135.068;-96.263;-128.101;0;0;0
12920;38.048;-155.201;-95.688;0;0;0;-53.04;-133.912;-171.244;-136.086;-92.846;-126.033;0;0;0
12930;51.513;-154.326;-89.175;0;0;0;-50.342;-126.188;-169.023;-138.143;-87.828;-123.966;0;0;0
12940;64.543;-153.87;-84.299;0;0;0;-46.775;-119.232;-167.15;-139.553;-82.672;-119.07;0;0;0
12950;79.677;-151.917;-78.961;0;0;0;-43.098;-113.57;-165.332;-139.872;-75.858;-114.044;0;0;0
12960;94.626;-148.741;-71.316;0;0;0;-39.399;-108.145;-162.908;-140.549;-70.343;-107.301;0;0;0
