timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.2;;21: frq7-.1;22: frq7-.2;23: frq7-.3;24: frq9+.1;25: frq9+.2;;26: frq10+.1;27: frq10+.2;28: frq10+.3
2220;-90.968;-67.388;-65.601;-56.772;-74.473;;-26.288;-38.335;-65.891;27.472;-66.993;;-10.127;-9.603;-7.023
2230;-90.272;-65.981;-64.244;-55.287;-74.181;;-24.23;-36.989;-65.295;31.403;-58.28;;-8.764;-6.371;-7.252
2240;-88.708;-64.862;-63.338;-53.621;-72.852;;-22.986;-35.163;-64.301;34.837;-50.003;;-7.572;-3.914;-7.542
2250;-87.349;-64.359;-63.364;-52.011;-71.284;;-21.662;-33.77;-63.594;36.832;-42.313;;-7.026;-1.265;-7.978
2260;-87.058;-63.939;-63.553;-50.401;-68.423;;-20.469;-32.741;-62.847;37.53;-35.397;;-6.603;2.201;-8.057
2270;-87.127;-63.823;-64.04;-48.377;-66.294;;-20.156;-31.63;-63.688;37.585;-28.768;;-5.585;5.772;-7.739
2280;-87.346;-64.375;-64.695;-46.352;-63.971;;-19.979;-30.948;-64.909;38.255;-20.465;;-4.534;8.673;-6.841
2290;-87.379;-65.743;-66.474;-43.822;-60.488;;-20.763;-31.034;-67.268;40.145;-12.995;;-3.455;14.862;-5.676
2300;-87.706;-67.357;-67.636;-41.292;-56.982;;-21.708;-31.521;-69.313;42.241;-4.127;;-2.074;20.593;-4.32
2310;-87.953;-68.601;-68.902;-38.763;-53.143;;-24.484;-32.025;-71.697;45.272;2.312;;-0.886;25.312;-3.252
2320;-88.954;-70.247;-70.994;-36.212;-48.793;;-27.643;-32.532;-73.339;48.6;9.641;;0.219;27.237;-2.512
2330;-90.324;-72.251;-74.018;-33.651;-43.901;;-30.992;-33.752;-74.982;52.232;16.914;;1.207;28.84;-1.705
2340;-92.454;-74.794;-76.35;-31.179;-36.568;;-31.983;-34.43;-76.331;54.95;25.115;;2.879;31.582;-0.97
2350;-95.468;-77.73;-78.634;-28.582;-28.029;;-33.834;-36.233;-78.043;56.95;35.286;;3.77;34.619;-0.279
2360;-98.774;-79.945;-80.37;-26.04;-18.8;;-35.539;-37.316;-79.389;57.582;45.93;;4.566;36.644;-0.032
2370;-102.044;-82.137;-82.473;-23.377;-8.898;;-37.303;-39.068;-80.895;58.79;58.597;;5.441;39.168;0.011
2380;-105.268;-85.534;-85.343;-20.713;0.037;;-38.361;-40.599;-82.45;58.859;71.258;;6.323;40.594;-0.226
2390;-109.234;-89.513;-88.872;-17.321;11.692;;-39.579;-42.777;-83.759;59.633;83.495;;7.513;39.593;-0.097
2400;-113.203;-93.623;-92.087;-13.93;25.193;;-41.339;-45.332;-84.754;60.73;95.524;;8.728;38.066;0.924
2410;-117.099;-97.546;-94.794;-10.487;38.386;;-43.451;-47.799;-85.854;62.407;105.626;;9.663;39.316;1.978
2420;-121.273;-102.182;-97.843;-7.044;52.764;;-45.203;-49.034;-87.033;63.549;113.665;;10.186;40.621;3.138
2430;-125.903;-106.863;-101.977;-3.567;67.211;;-46.223;-49.988;-87.954;64.582;122.552;;10.192;43.088;3.557
2440;-131.153;-111.458;-105.618;-0.09;82.672;;-47.164;-50.803;-89.076;64.174;131.047;;11.288;43.919;4.036
2450;-136.237;-115.636;-109.404;3.621;100.339;;-48.218;-52.059;-89.559;64.716;139.564;;12.745;43.662;3.636
2460;-140.528;-119.63;-113.099;7.379;117.8;;-50.112;-52.676;-89.552;66.203;147.826;;14.237;43.337;4.377
2470;-144.674;-123.806;-116.72;13.319;133.568;;-52.476;-53.354;-89.105;68.487;155.086;;14.968;44.306;5.232
2480;-149.117;-128.261;-120.335;19.32;150.137;;-55.2;-54.156;-87.574;70.189;159.817;;14.759;44.451;5.923
2490;-153.891;-132.017;-123.872;27.265;166.08;;-56.897;-56.343;-86.683;72.509;165.446;;14.963;46.061;6.869
2500;-157.946;-135.022;-126.701;35.086;183.463;;-57.971;-58.276;-85.777;75.619;169.989;;16.266;47.684;7.316
2510;-161.284;-138.407;-129.323;42.066;199.548;;-59.163;-60.24;-84.801;81.301;175.396;;17.865;47.912;7.098
2520;-164.163;-141.946;-131.855;48.643;215.85;;-60.139;-62.164;-83.826;88.095;182.948;;18.785;46.131;6.901
2530;-166.988;-145.011;-134.109;55.396;231.032;;-61.214;-64.095;-83.223;94.164;189.819;;20.166;43.251;6.466
2540;-170.199;-147.739;-135.966;61.828;244.884;;-61.779;-64.646;-82.141;100.389;197.724;;20.64;40.371;5.964
2550;-173.317;-150.523;-137.623;68.839;257.121;;-62.026;-64.407;-82.237;107.451;204.65;;20.585;38.891;5.234
2560;-176.291;-152.801;-139.017;77.321;266.479;;-62.406;-63.961;-82.265;113.621;211.192;;20.617;40.07;4.326
2570;-178.528;-154.626;-139.743;85.914;274.781;;-62.768;-63.668;-83.141;120.269;216.526;;20.719;41.492;3.697
2580;-179.706;-156.004;-139.804;94.822;279.497;;-63.003;-64.334;-83.847;126.317;220.79;;20.688;42.57;2.95
2590;-180.394;-157.451;-140.839;103.73;281.779;;-63.412;-65.561;-84.073;133.486;224.403;;20.76;43.742;2.306
2600;-180.061;-158.298;-141.731;111.39;284.472;;-62.873;-67.239;-83.657;138.761;226.404;;21.164;43.074;1.404
2610;-178.902;-158.025;-142.326;119.051;285.09;;-62.062;-69.272;-83.309;143.945;228.309;;22.008;40.103;0.709
2620;-177.342;-156.926;-141.988;125.234;284.748;;-61.281;-70.484;-82.608;147.371;228.207;;22.614;37.622;-0.19
2630;-175.583;-154.895;-141.857;131.418;284.463;;-61.421;-71.222;-80.748;151.033;227.17;;22.992;35.977;-0.899
2640;-173.014;-152.15;-140.623;136.594;279.779;;-61.477;-71.64;-79.034;154.869;225.597;;22.992;36.281;-0.84
2650;-170.672;-149.425;-138.513;141.771;273.058;;-61.054;-71.243;-75.732;156.997;223.826;;23.892;36.592;-0.999
2660;-168.334;-146.708;-136.847;144.663;264.814;;-59.952;-70.716;-72.541;160.93;221.72;;25.135;36.276;-1.532
2670;-165.768;-143.378;-134.919;147.673;255.302;;-58.661;-70.345;-68.847;164.83;220.754;;26.422;34.76;-2.126
2680;-163.108;-140.299;-132.029;147.291;245.048;;-57.858;-70.817;-66.034;167.439;220.403;;27.229;33.623;-2.726
2690;-159.67;-137.396;-129.109;146.888;235.354;;-56.603;-71.35;-63.326;167.858;219.846;;27.353;33.421;-3.437
2700;-156.066;-134.818;-125.668;147.011;222.943;;-55.228;-72.404;-61.115;167.72;218.709;;27.069;33.923;-3.807
2710;-152.605;-131.763;-121.753;147.017;210.081;;-53.175;-72.394;-59.097;167.702;217.201;;26.575;34.288;-4.328
2720;-149.394;-128.606;-116.92;145.062;198.059;;-50.563;-72.454;-55.799;167.939;215.25;;25.681;33.739;-4.818
2730;-146.041;-124.367;-110.881;143.108;186.388;;-48.134;-70.766;-51.145;168.119;213.539;;25.332;32.868;-5.068
2740;-142.232;-120.207;-104.956;138.501;174.356;;-45.857;-69.316;-46.305;166.774;210.167;;24.652;31.484;-5.148
2750;-138.268;-116.506;-99.261;133.894;161.015;;-43.981;-68.052;-40.105;165.404;206.619;;24.295;30.829;-3.95
2760;-134.553;-112.742;-92.88;129.817;147.108;;-41.477;-65.948;-33.822;162.794;202.865;;23.272;30.601;-2.473
2770;-129.91;-108.163;-85.903;125.739;132.556;;-39.244;-63.015;-26.499;159.29;197.228;;22.519;30.171;-1.033
