timepoints (min);46: wc-2-.3
14750;-22.254
14760;-19.742
14770;-17.423
14780;-15.084
14790;-12.865
14800;-11.326
14810;-10.034
14820;-8.861
14830;-7.847
14840;-6.633
14850;-5.337
14860;-2.76
14870;-0.383
14880;2.145
14890;4.437
14900;6.77
14910;9.04
14920;11.338
14930;11.876
14940;12.294
14950;12.732
14960;12.771
14970;11.97
14980;11.23
14990;10.477
15000;9.884
15010;8.874
15020;7.879
15030;7.083
15040;6.407
15050;5.807
15060;5.372
15070;6.738
15080;7.879
15090;9.068
15100;10.937
15110;11.526
15120;12.135
15130;12.793
15140;13.651
15150;14.288
15160;14.85
15170;14.211
15180;15.332
15190;16.399
15200;17.396
15210;18.713
15220;20.017
15230;21.361
15240;23.786
15250;26.051
15260;28.392
15270;30.712
15280;32.192
15290;33.644
15300;34.993
15310;35.542
15320;34.291
15330;32.854
15340;31.417
15350;29.979
15360;28.494
15370;27.126
15380;25.637
15390;24.309
15400;23.098
15410;22.025
15420;22.832
15430;23.714
15440;24.57
15450;24.945
15460;25.4
15470;25.89
15480;26.241
15490;24.793
15500;23.338
15510;21.855
15520;20.212
15530;19.21
15540;18.228
15550;17.11
15560;16.793
15570;16.621
15580;16.462
15590;16.383
15600;15.625
15610;14.956
15620;14.31
15630;13.785
15640;13.239
15650;12.727
15660;11.255
15670;9.103
15680;7.007
15690;4.63
15700;2.734
15710;1.058
15720;-0.542
15730;-2.422
15740;-3.644
15750;-4.859
15760;-6.074
15770;-7.124
15780;-8.479
15790;-9.835
15800;-10.51
15810;-11.257
15820;-12.006
15830;-12.995
15840;-14.065
15850;-15.107
15860;-16.149
15870;-16.992
15880;-17.798
15890;-18.603
15900;-18.809
15910;-18.055
15920;-16.95
15930;-15.839
15940;-14.442
15950;-12.904
15960;-11.358
15970;-10.483
15980;-9.32
15990;-8.182
16000;-7.035
16010;-7.12
16020;-7.45
16030;-7.775
16040;-7.936
16050;-8.492
16060;-9.061
16070;-9.624
16080;-9.143
16090;-8.414
16100;-7.675
16110;-6.766
16120;-5.966
16130;-5.306
16140;-4.638
16150;-5.402
16160;-6.35
16170;-7.292
16180;-8.31
16190;-9.323
16200;-10.16
16210;-10.988
16220;-11.727
16230;-12.488
16240;-13.239
16250;-14.181
16260;-14.313
16270;-14.252
16280;-14.217
16290;-14.327
16300;-14.556
16310;-14.771
16320;-15.413
16330;-16.841
16340;-18.464
16350;-20.118
16360;-21.006
16370;-22.047
16380;-23.21
16390;-24.511
16400;-25.012
16410;-25.594
16420;-26.269
16430;-26.94
16440;-27.704
16450;-28.613
16460;-29.701
16470;-29.883
