timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.2;21: frq1-.3;22: frq7-.1;23: frq7-.2;24: frq7-.3;25: frq9+.1;26: frq9+.2;27: frq9+.3;28: frq10+.1;29: frq10+.2;30: frq10+.3
1820;33.73;62.69;85.225;82.737;108.957;43.567;-20.288;25.218;-33.393;59.524;30.498;8.804;-8.641;-0.312;5.168
1830;30.092;56.221;76.85;96.079;123.625;50.692;-21.625;19.966;-38.469;62.331;29.957;7.201;-9.143;0.495;5.167
1840;25.354;49.321;69.668;108.499;137.837;57.052;-23.818;15.305;-43.538;65.512;28.397;2.164;-9.483;0.354;4.565
1850;21.343;41.339;62.945;119.68;151.839;63.343;-25.651;10.63;-49.084;67.807;26.393;-4.099;-9.822;-0.046;3.993
1860;17.621;32.665;54.713;131.829;165.771;69.635;-27.862;4.57;-54.444;69.633;24.417;-10.772;-10.36;-2.343;4.484
1870;12.564;24.512;44.823;141.541;177.807;75.113;-30.233;-0.295;-60.126;71.716;22.635;-18.076;-10.734;-4.281;3.661
1880;7.766;17.97;35.749;149.334;189.372;79.393;-33.455;-6.502;-66.607;72.599;20.469;-25.055;-10.339;-5.959;2.247
1890;3.037;11.428;26.654;157.393;200.386;82.272;-37.28;-12.004;-72.128;73.481;19.268;-30.713;-10;-7.463;1.061
1900;-2.193;5.684;17.852;164.193;212.032;82.866;-41.651;-18.232;-77.102;71.382;16.946;-35.102;-9.828;-8.971;0.04
1910;-6.447;-1.931;8.178;169.579;223.443;83.274;-46.112;-24.425;-81.921;67.403;14.044;-38.404;-10.593;-11.069;-0.588
1920;-11.182;-10.101;-2.259;172.244;231.934;83.252;-49.327;-30.818;-86.589;63.548;7.69;-41.706;-11.228;-12.305;-1.137
1930;-16.708;-17.359;-12.77;174.505;238.206;83.23;-52.043;-37.291;-92.297;59.662;1.28;-46.074;-12.67;-13.617;-1.848
1940;-22.037;-23.621;-22.477;175.429;243.218;82.586;-54.582;-42.67;-98;56.823;-6.25;-46.619;-13.839;-14.241;-2.455
1950;-27.553;-30.679;-30.159;174.655;248.164;81.663;-56.652;-47.679;-103.596;54.123;-13.135;-46.03;-13.967;-14.368;-2.546
1960;-33.796;-38.206;-37.75;172.803;252.392;80.101;-58.727;-52.687;-107.345;49.943;-18.559;-45.441;-14.215;-14.425;-2.455
1970;-40.359;-45.95;-44.807;167.275;256.259;79.073;-60.257;-56.135;-110.84;48.315;-24.099;-45.092;-16.037;-14.59;-3.646
1980;-46.917;-52.903;-51.663;161.794;261.859;78.246;-63.386;-60.368;-113.923;46.77;-28.138;-45.8;-16.359;-15.123;-4.934
1990;-54.73;-59.204;-59.829;154.097;266.105;78.359;-66.206;-65.345;-116.486;46.821;-30.363;-45.937;-15.908;-15.44;-5.818
2000;-62.752;-64.337;-68.85;151.308;270.48;78.472;-69.12;-69.768;-117.495;45.967;-33.332;-46.073;-15.891;-15.338;-6.658
2010;-70.272;-69.538;-77.752;144.928;273.007;77.883;-72.201;-73.826;-118.491;44.415;-35.862;-45.608;-15.712;-15.35;-6.923
2020;-78.328;-74.939;-86.232;136.586;275.396;78.174;-75.352;-77.124;-117.837;40.83;-37.673;-42.792;-14.374;-14.822;-6.67
2030;-87.154;-80.899;-94.03;128.12;273.203;75.709;-77.902;-80.012;-117.207;37.582;-37.457;-38.102;-12.785;-15.262;-6.85
2040;-95.743;-87.537;-100.513;117.952;266.215;73.052;-80.24;-81.919;-117.03;34.039;-36.172;-33.412;-11.154;-15.833;-7.001
2050;-103.857;-94.636;-107.69;108.539;258.353;73.356;-81.67;-83.785;-116.578;29.125;-35.531;-31.094;-10.447;-16.239;-7.764
2060;-110.971;-101.742;-116.262;97.666;252.302;68.786;-83.012;-85.059;-116.825;24.77;-34.41;-32.487;-9.865;-16.672;-9.007
2070;-118.622;-107.804;-123.954;85.61;246.43;63.217;-83.619;-86.734;-117.095;20.469;-33.087;-31.72;-9.255;-16.614;-10.252
2080;-124.977;-114.074;-129.452;75.952;236.759;58.574;-83.843;-89.559;-116.008;16.588;-32.217;-33.68;-7.328;-16.632;-11.305
2090;-129.663;-119.949;-133.295;65.105;227.076;53.771;-83.786;-92.192;-115.39;10.247;-31.236;-31.622;-5.926;-15.943;-11.993
2100;-133.433;-123.996;-135.708;54.712;217.553;49.999;-83.764;-94.665;-113.881;4.146;-29.635;-30.269;-4.87;-15.317;-12.419
2110;-136.663;-126.652;-136.494;42.528;208.483;47.265;-82.702;-95.931;-112.4;-1.534;-27.332;-28.396;-3.175;-13.069;-13.877
2120;-139.029;-129.721;-135.548;33.934;200.069;44.851;-81.512;-96.677;-108.679;-6.015;-23.274;-26.487;-1.554;-11.647;-13.977
2130;-141.128;-133.251;-135.16;26.954;189.615;41.502;-79.181;-95.724;-103.233;-9.537;-18.723;-25.801;-0.081;-10.588;-13.415
2140;-143.503;-137.281;-136.67;21.342;177.891;37.393;-77.484;-95.323;-98.043;-12.768;-14.145;-25.117;1.546;-9.563;-12.377
2150;-145.332;-142.494;-139.03;16.981;165.51;34.742;-75.165;-93.961;-93.549;-14.95;-8.599;-26.233;2.886;-8.47;-10.956
2160;-146.923;-145.681;-141.648;12.357;152.317;33.201;-73.309;-92.359;-90.852;-15.651;-1.644;-28.706;4.716;-7.291;-9.939
