timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
7850;-73.859;-52.486;-21.193;-26.508;-66.953;-72.549;-72.632;-121.382;-48.145;-27.028;-82.386;-46.268;-129.887;-107.137;-112.321
7860;-91.145;-73.268;-39.948;-47.901;-88.615;-89.506;-78.025;-128.479;-56.703;-36.883;-89.058;-55.789;-154.604;-123.565;-138.433
7870;-102.614;-90.341;-55.212;-68.292;-106.188;-103.452;-83.444;-134.643;-64.523;-45.095;-94.983;-64.12;-178.941;-138.425;-163.654
7880;-111.88;-104.646;-67.808;-86.186;-119.246;-114.716;-88.457;-140.921;-71.337;-52.252;-102.89;-70.754;-203.164;-151.852;-186.516
7890;-121.044;-118.69;-80.501;-104.171;-132.361;-126.219;-93.628;-147.28;-78.317;-59.43;-111.043;-76.975;-226.885;-165.175;-208.934
7900;-128.081;-130.931;-89.63;-120.124;-143.058;-134.39;-96.731;-153.766;-84.687;-66.497;-119.846;-81.181;-247.785;-176.068;-228.021
7910;-132.432;-141.152;-96.644;-133.337;-151.477;-141.138;-100.001;-159.583;-90.865;-73.341;-127.648;-84.877;-264.247;-184.061;-243.177
7920;-134.514;-148.949;-102.061;-142.979;-157.521;-147.015;-103.186;-164.837;-96.782;-79.801;-133.919;-89.218;-279.132;-191.251;-255.341
7930;-136.463;-156.099;-106.647;-149.768;-161.506;-152.953;-106.019;-170.269;-102.219;-85.248;-140.662;-93.884;-292.41;-197.688;-264.258
7940;-139.137;-163.599;-110.909;-155.596;-165.087;-158.626;-108.095;-176.09;-108.017;-90.269;-147.401;-99.319;-303.512;-203.823;-273.713
7950;-142.207;-170.919;-114.988;-160.559;-170.332;-163.476;-110.172;-182.171;-112.363;-93.876;-153.708;-104.466;-313.117;-208.852;-282.203
