timepoints (min);46: wc-2,- -1;47: wc-2,- -2;48: wc-2,- -3
4090;-24.425;125.688;44.847
4100;-23.291;133.957;48.957
4110;-22.143;135.706;54.548
4120;-20.486;137.455;58.492
4130;-18.708;136.575;62.658
4140;-17.65;136.775;63.903
4150;-16.806;136.975;65.577
4160;-16.444;134.686;65.763
4170;-16.163;134.156;64.017
4180;-17.881;133.626;62.27
4190;-19.786;128.39;59.137
4200;-21.746;123.63;56.051
4210;-23.706;118.87;51.885
4220;-24.306;112.514;46.793
4230;-24.706;105.938;41.811
4240;-25.106;99.244;33.149
4250;-25.506;94.63;24.852
4260;-23.266;90.017;15.636
4270;-20.854;85.161;7.594
4280;-18.441;78.706;-0.64
4290;-16.029;72.251;-8.434
4300;-13.097;63.335;-16.601
4310;-10.578;53.379;-24.248
4320;-8.059;43.423;-30.095
4330;-5.541;30.56;-35.928
4340;-2.742;17.697;-43.961
4350;-0.343;4.833;-51.746
4360;2.055;0.167;-59.179
4370;4.454;-4.451;-64.252
4380;4.312;-9.386;-69.119
4390;4.528;-13.161;-66.25
4400;4.745;-17.516;-63.512
4410;4.961;-21.732;-60.774
4420;3.674;-32.269;-55.753
4430;2.801;-43.061;-51.063
4440;1.928;-50.476;-49.974
4450;1.055;-57.291;-49.312
4460;0.782;-64.106;-48.65
4470;-0.869;-69.779;-46.188
4480;-2.52;-69.492;-43.539
4490;-4.171;-69.206;-38.411
4500;-5.048;-68.783;-32.695
4510;-7.457;-68.361;-27.193
4520;-9.865;-67.939;-24.771
4530;-12.542;-70.033;-22.728
4540;-15.499;-72.127;-20.366
4550;-18.568;-73.979;-19.723
4560;-21.637;-79.03;-19.135
4570;-24.706;-84.081;-18.668
4580;-27.924;-84.932;-18.145
4590;-31.742;-81.823;-16.966
4600;-35.56;-78.714;-12.119
4610;-39.337;-77.724;-7.465
4620;-42.691;-72.073;-2.651
4630;-43.846;-66.843;2.08
4640;-45.145;-63.852;4.692
4650;-46.444;-61.063;4.901
4660;-47.619;-58.737;5.164
4670;-47.48;-52.45;4.748
4680;-47.341;-45.273;4.524
4690;-47.201;-38.097;6.276
4700;-47.317;-29.774;8.601
4710;-48.113;-21.382;10.672
4720;-48.695;-12.99;11.662
4730;-49.277;-12.873;12.197
4740;-49.735;-12.756;12.319
4750;-49.499;-14.839;9.2
4760;-49.263;-16.826;6.268
4770;-49.028;-18.814;5.535
4780;-48.24;-17.003;4.754
4790;-46.092;-14.989;4.463
4800;-43.945;-12.975;5.578
4810;-41.735;-6.937;6.879
4820;-39.546;-1.542;6.499
4830;-37.037;3.701;5.942
4840;-34.687;5.863;5.592
4850;-32.337;7.93;2.866
4860;-30.2;9.975;0.299
4870;-27.77;7.872;-3.108
4880;-25.339;5.12;-5.477
4890;-22.971;2.368;-7.978
4900;-20.665;0.757;-9.377
4910;-14.959;0.084;-10.865
4920;-9.287;0.011;-11.313
4930;-3.615;-0.346;-12.618
4940;2.112;-0.234;-13.674
4950;9.568;-1.483;-16.717
4960;17.105;-3.12;-19.76
4970;24.641;-4.757;-22.892
4980;32.081;-2.074;-27.294
4990;37.441;1.057;-32.612
5000;41.561;4.188;-35.001
5010;45.73;6.706;-37.39
5020;49.884;9.528;-39.957
5030;51.639;12.35;-40.501
5040;52.389;12.912;-40.754
5050;53.139;13.473;-40.305
5060;53.89;14.324;-39.855
5070;55.509;15.474;-39.564
5080;57.088;16.625;-40.508
5090;58.578;16.93;-41.879
5100;60.068;17.377;-45.206
5110;62.559;17.906;-48.532
5120;64.617;17.876;-51.735
5130;66.674;16.61;-54.281
5140;68.732;15.343;-56.883
5150;70.772;12.517;-56.388
5160;69.212;8.539;-55.892
5170;67.652;4.561;-55.087
5180;64.561;0.019;-53.931
5190;61.574;-4.819;-52.906
5200;56.746;-9.658;-50.746
5210;52.037;-12.593;-48.586
5220;47.328;-14.839;-46.309
5230;42.24;-16.484;-42.207
5240;40.134;-18.233;-37.767
5250;38.028;-19.982;-34.458
5260;35.611;-18.251;-31.149
5270;33.899;-18.43;-27.902
5280;34.588;-20.89;-27.819
5290;35.152;-21.263;-28.068
5300;36.116;-21.534;-27.521
5310;37.183;-22.204;-26.975
5320;36.501;-23.123;-26.277
5330;35.818;-20.814;-21.451
5340;35.135;-19.098;-16.625
5350;33.668;-16.883;-10.279
5360;31.44;-14.508;-3.932
5370;29.212;-10.822;2.007
5380;25.654;-7.724;6.898
5390;22.047;-4.04;11.789
5400;18.72;1.044;14.07
5410;14.571;5.745;16.352
5420;10.422;10.342;18.923
5430;7.377;15.819;18.63
5440;5.251;22.345;18.338
5450;3.126;28.87;17.419
5460;1.654;33.436;16.501
5470;1.324;38.663;15.727
5480;0.994;45.211;15.291
5490;0.468;51.303;14.855
5500;-0.059;57.299;15.411
5510;-0.552;55.175;15.967
5520;-1.866;53.017;16.343
5530;-3.181;53.138;17.399
5540;-4.495;50.539;18.454
5550;-5.811;48.265;17.134
5560;-7.141;44.91;15.814
5570;-7.23;41.308;14.459
5580;-6.674;35.077;10.548
5590;-6.119;27.327;6.636
5600;-4.378;19.363;2.985
5610;-2.917;12.177;-0.666
5620;-1.457;4.632;-4.345
5630;1.011;-1.993;-8.786
5640;3.225;-8.112;-13.228
5650;5.439;-14.03;-18.545
5660;8.143;-21.949;-23.862
5670;11.688;-28.44;-29.248
5680;15.24;-35.811;-29.545
5690;18.474;-42.105;-29.841
5700;21.709;-47.537;-22.823
5710;24.943;-53.568;-15.806
5720;24.779;-60.124;-8.519
5730;24.615;-70.44;-4.399
5740;24.091;-80.756;-0.279
5750;22.4;-90.851;-1.13
5760;21.33;-89.866;-1.981
5770;20.57;-88.35;-2.756
5780;21.73;-86.862;-1.417
5790;22.89;-81.175;-0.16
5800;23.879;-75.488;2.928
5810;22.788;-68.99;6.099
5820;21.359;-66.492;9.27
5830;19.25;-63.912;10.126
5840;16.208;-56.971;10.981
5850;13.167;-49.768;9.691
5860;12.406;-43.703;8.401
5870;11.644;-31.567;7.588
5880;10.738;-19.43;8.425
5890;10.992;-11.044;9.641
5900;11.025;-2.658;13.495
5910;11.058;7.312;17.349
5920;8.316;19.847;21.106
5930;5.574;33.375;21.815
5940;2.139;49.383;22.786
5950;-3.175;65.102;18.05
5960;-8.497;81.301;13.492
5970;-11.458;90.251;8.935
5980;-13.783;99.036;7.607
5990;-16.109;104.455;6.279
6000;-16.999;109.633;10.607
6010;-15.208;108.523;14.935
6020;-13.418;108.012;19.16
6030;-13.295;107.309;24.694
6040;-13.172;102.566;30.228
6050;-13.194;98.346;31.28
6060;-13.578;94.486;32.332
6070;-14.217;95.859;32.937
6080;-14.855;97.654;32.503
6090;-16.629;99.503;32.015
6100;-18.403;101.353;30.811
6110;-21.756;103.741;29.731
6120;-24.583;99.208;28.651
6130;-27.259;94.09;25.593
