timepoints (min);31: frq9,- -1;32: frq9,- -2;33: frq9,- -3;34: frq10,- -1;35: frq10,- -2;36: frq10,- -3;37: wc-1,+ -1;38: wc-1,+ -2;39: wc-1,+ -3;40: wc-2,+ -1;41: wc-2,+ -2;42: wc-2,+ -3;43: wc-1,- -1;44: wc-1,- -2;45: wc-1,- -3
1650;-22.066;-44.811;-57.257;-21.665;-41.381;-49.908;-99.473;-50.629;-24.844;-9.913;2.444;-11.59;54.588;26.41;30.233
1660;-27.531;-47.814;-57.906;-28.16;-47.164;-50.368;-108.286;-54.805;-27.982;-9.68;0.585;-10.611;54.734;19.898;28.087
1670;-32.389;-50.817;-59.421;-35.785;-54.108;-51.263;-115.201;-59.177;-29.261;-9.034;-0.77;-9.697;54.001;15.885;24.979
1680;-39.567;-52.6;-60.109;-43.41;-57.997;-52.28;-121.465;-63.846;-30.423;-8.25;-1.487;-9.446;51.317;14.84;23.001
1690;-46.352;-54.383;-61.128;-50.648;-61.783;-53.457;-129.312;-68.996;-30.772;-7.839;-1.745;-9.808;48.364;15.37;20.666
1700;-53.577;-56.139;-61.837;-56.421;-63.145;-55.76;-136.463;-73.517;-31.379;-7.946;-2.421;-10.284;43.916;14.366;16.814
1710;-60.746;-55.157;-62.018;-62.193;-63.326;-59.011;-143.957;-76.879;-34.626;-7.297;-2.937;-10.363;40.066;14.163;12.512
1720;-65.276;-54.175;-61.124;-65.884;-61.737;-62.046;-148.425;-77.417;-37.117;-5.913;-4.593;-10.583;37.712;12.221;12.386
1730;-69.254;-50.006;-61.03;-69.575;-59.388;-63.833;-152.047;-79.894;-38.705;-4.741;-6.91;-11.462;36.371;9.246;8.046
1740;-72.072;-45.836;-60.75;-71.439;-57.777;-65.223;-155.604;-82.685;-40.832;-5.621;-9.186;-12.153;36.257;7.335;7.364
1750;-75.317;-41.666;-61.153;-74.654;-55.966;-64.934;-158.234;-85.817;-43.135;-6.265;-11.404;-11.411;36.004;5.726;7.39
1760;-78.008;-35.537;-61.577;-78.234;-57.161;-66.97;-160.225;-89.505;-45.263;-6.193;-13.137;-9.615;35.731;4.848;8.457
1770;-80.665;-29.407;-62.862;-81.527;-58.371;-69.022;-162.248;-93.115;-46.843;-4.927;-15.032;-8.007;34.423;3.019;8.563
1780;-82.76;-22.902;-63.706;-85.137;-60.541;-72.643;-164.857;-94.644;-47.211;-2.604;-16.385;-7.305;32.397;-0.065;8.364
1790;-83.917;-16.625;-64.673;-88.528;-62.308;-74.106;-167.884;-94.87;-48.121;-0.378;-17.526;-6.43;29.371;-2.905;6.808
1800;-85.019;-10.348;-64.68;-92.28;-63.857;-74.188;-166.912;-95.836;-49.04;2.174;-19.335;-5.381;27.215;-6.003;5.812
1810;-85.374;-2.914;-64.418;-96.239;-65.353;-73.069;-166.45;-97.601;-50.399;4.074;-20.91;-4.437;24.45;-6.848;4.469
1820;-85.593;4.519;-62.796;-101.748;-66.742;-69.491;-165.491;-100.337;-51.247;4.977;-22.926;-3.189;21.479;-6.92;2.874
1830;-85.697;11.142;-60.781;-106.284;-68.957;-66.094;-163.257;-102.548;-50.164;5.429;-23.686;-2.73;18.473;-6.179;0.211
1840;-85.36;17.71;-57.818;-111.524;-72.204;-61.417;-161.156;-105.091;-48.463;5.68;-23.548;-2.843;16.057;-7.343;-2.484
1850;-85.821;24.279;-56.817;-114.45;-75.61;-55.034;-160.497;-106.178;-45.04;5.145;-23.486;-3.003;14.225;-9.468;-6.989
1860;-85.361;28.397;-56.815;-117.279;-78.615;-49.306;-159.805;-105.659;-42.268;4.142;-23.943;-2.839;11.857;-11.367;-10.808
1870;-84.978;32.399;-55.494;-117.923;-81.469;-43.458;-155.902;-103.757;-41.661;2.637;-25.237;-2.277;8.654;-13.537;-13.403
1880;-83.874;37.863;-54.421;-118.175;-83.543;-38.852;-149.869;-102.921;-41.24;1.062;-26.451;-1.428;5.199;-15.393;-15.988
1890;-81.75;43.259;-51.308;-117.119;-84.298;-34.039;-141.786;-101.982;-40.422;-0.316;-26.672;0.186;2.788;-15.135;-18.137
