timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.3;;21: frq7-.1;22: frq7-.2;;23: frq9+.1;24: frq9+.2;25: frq9+.3;26: frq10+.1;27: frq10+.2;28: frq10+.3
1990;-160.97;-156.52;-172.88;68.411;84.966;;23.261;-5.727;;176.447;2.874;119.517;-14.854;-4.601;-19.495
2000;-162.654;-161.052;-178.739;74.95;91.274;;22.555;1.56;;172.47;-5.4;110.901;-15.091;-5.439;-21.986
2010;-163.023;-165.601;-184.012;81.298;102.025;;21.683;8.007;;167.208;-13.036;96.113;-14.019;-5.67;-25.236
2020;-162.448;-169.492;-188.513;87.887;113.217;;20.461;15.501;;162.908;-21.378;85.262;-15.268;-6.206;-29.648
2030;-163.819;-173.55;-192.835;92.996;122.636;;19.505;21.885;;156.076;-26.396;74.321;-16.526;-8.073;-34.324
2040;-167.927;-176.817;-196.874;97.953;131.869;;18.549;27.327;;146.615;-32.778;64.801;-18.681;-10.022;-36.538
2050;-172.971;-179.957;-200.16;100.669;141.272;;17.771;33.168;;137.436;-41.76;53.481;-20.168;-12.374;-36.886
2060;-178.841;-183.441;-203.553;105.775;150.674;;17.097;36.739;;130.334;-48.713;42.313;-27.087;-15.444;-37.462
2070;-184.389;-187.258;-206.488;111.349;158.35;;18.182;39.778;;120.619;-53.218;33.839;-32.032;-17.138;-40.444
2080;-189.532;-190.181;-209.491;112.93;167.257;;19.323;42.314;;108.721;-57.834;23.115;-35.465;-16.651;-44.328
2090;-195.377;-191.59;-212.469;115.777;175.01;;19.217;44.686;;97.618;-62.378;12.895;-37.011;-17.807;-46.8
2100;-200.207;-192.739;-215.432;118.989;182.883;;19.083;46.011;;87.989;-66.072;4.199;-38.167;-21.36;-47.348
2110;-205.21;-194.494;-216.263;120.241;184.887;;17.462;46.497;;78.117;-69.566;-6.212;-37.534;-26.8;-47.837
2120;-208.823;-196.761;-215.694;122.873;186.737;;16.201;46.32;;70.106;-71.506;-16.801;-39.327;-30.977;-48.302
2130;-212.673;-198.581;-215.855;122.549;187.741;;14.961;45.159;;65.396;-71.681;-28.676;-41.745;-34.83;-49.284
2140;-213.698;-199.368;-215.857;121.914;188.181;;14.241;44.441;;62.756;-71.091;-39.388;-45.2;-37.15;-50.444
2150;-213.381;-200.141;-216.432;122.2;187.05;;13.913;43.71;;59.721;-71.335;-49.619;-49.684;-38.306;-52.425
2160;-213.432;-201.088;-217.352;123.305;185.698;;13.676;41.843;;53.708;-72.516;-59.959;-55.131;-39.154;-54.079
2170;-211.541;-202.943;-217.07;123.714;182.45;;13.659;38.883;;45.924;-75.815;-70.553;-56.203;-40.163;-53.159
2180;-211.294;-202.519;-216.152;121.414;177.523;;13.636;39.655;;39;-79.615;-80.866;-55.832;-41.894;-48.461
2190;-212.076;-202.148;-213.601;120.839;170.87;;14.332;40.655;;32.681;-82.35;-90.899;-56.742;-43.85;-38.688
2200;-213.905;-203.306;-210.996;119.145;164.218;;15.057;40.179;;26.519;-82.292;-102.921;-56.008;-45.797;-32.298
2210;-212.917;-202.892;-205.916;114.495;155.881;;15.898;40.063;;18.565;-81.772;-114.812;-53.739;-47.749;-25.942
2220;-213.232;-201.335;-199.999;110.032;146.582;;15.788;38.28;;7.709;-80.477;-130.343;-53.768;-48.81;-21.197
2230;-213.79;-199.857;-193.447;103.601;138.934;;14.666;37.534;;-3.568;-78.175;-142.367;-51.96;-49.607;-18.881
2240;-211.491;-198.997;-184.343;95.879;133.926;;12.585;35.099;;-15.628;-74.734;-151.01;-49.332;-50.829;-18.305
2250;-209.007;-197.33;-175.792;87.4;126.966;;10.345;32.341;;-28.517;-73.087;-158.706;-45.917;-52.534;-13.676
2260;-206.6;-193.287;-168.992;77.662;116.05;;9.225;29.432;;-41.141;-72.506;-166.372;-41.561;-53.766;-8.254
2270;-203.172;-187.877;-163.724;66.251;104.872;;6.691;26.265;;-52.854;-69.931;-170.357;-37.837;-55.212;-2.993
2280;-198.015;-181.942;-159.146;54.16;99.334;;4.199;24.4;;-61.066;-71.292;-173.087;-35.8;-55.674;0.4
2290;-189.572;-173.375;-154.279;41.606;92.989;;2.461;22.183;;-67.568;-70.259;-175.022;-33.044;-54.197;2.392
2300;-178.891;-164.326;-149.484;31.168;78.428;;0.538;18.903;;-73.892;-66.913;-176.757;-29.588;-52.484;3.621
2310;-167.018;-154.652;-144.215;20.88;64.08;;-0.745;14.463;;-79.177;-63.394;-178.527;-25.521;-50.737;4.661
2320;-153.521;-141.648;-137.497;10.272;48.097;;-2.916;10.239;;-83.272;-63.309;-180.894;-21.199;-50.589;8.028
2330;-139.592;-127.749;-129.945;0.994;34.15;;-6.212;5.728;;-85.223;-63.977;-179.299;-17.166;-51.956;13.978
2340;-125.861;-114.636;-120.909;-9.57;19.735;;-8.549;1.966;;-87.617;-62.686;-175.771;-13.521;-51.763;19.066
2350;-113.073;-102.361;-110.418;-19.741;4.582;;-11.079;-2.833;;-90.36;-61.857;-173.019;-10.345;-49.938;22.154
2360;-101.514;-89.65;-101.881;-27.988;-8.008;;-12.632;-7.021;;-93.266;-61.041;-170.123;-7.392;-47.604;25.062
2370;-90.622;-76.321;-92.862;-37.877;-20.054;;-14.69;-11.848;;-95.106;-63.761;-168.061;-3.225;-46.31;27.007
2380;-81.062;-64.259;-82.844;-46.753;-32.099;;-17.8;-16.443;;-99.364;-68.153;-167.193;-0.818;-45.128;28.28
2390;-75.872;-52.731;-72.361;-56.916;-43.945;;-21.75;-21.759;;-106.348;-71.803;-169.108;1.41;-44.69;29.734
2400;-70.901;-39.343;-61.49;-67.639;-55.499;;-25.494;-27.921;;-114.177;-74.622;-171.502;5.574;-45.363;32.916
2410;-63.717;-25.121;-51.632;-76.603;-66.84;;-29.197;-32.044;;-119.44;-75.451;-175.265;9.526;-46.128;36.33
2420;-57.601;-10.143;-41.312;-82.443;-76.621;;-33.273;-35.364;;-124.672;-74.865;-178.715;12.114;-45.559;37.691
2430;-49.559;4.319;-27.859;-87.821;-85.072;;-36.229;-38.44;;-131.808;-68.859;-182.443;15.236;-44.348;35.357
2440;-39.468;18.143;-14.723;-95.873;-92.859;;-40.154;-43.57;;-137.018;-68.077;-186.218;19.383;-43.233;28.382
2450;-27.477;33.963;-1.524;-104.959;-100.771;;-43.908;-48.168;;-142.058;-66.719;-189.233;22.288;-42.585;24.948
2460;-14.972;52.771;10.31;-111.255;-108.203;;-48.101;-53.659;;-143.059;-64.662;-191.145;22.872;-41.738;21.196
2470;-1.913;71.514;21.917;-117.372;-115.183;;-50.901;-58.63;;-141.772;-62.058;-190.745;25.822;-39.531;18.088
2480;10.346;89.945;35.217;-122.37;-121.778;;-53.128;-64.542;;-139.145;-60.414;-191.941;27.055;-36.52;17.841
2490;21.637;108.123;47.25;-126.65;-129.182;;-54.265;-72.291;;-134.236;-59.164;-193.737;30.257;-33.794;20.236
2500;33.532;125.654;62.832;-129.548;-134.4;;-55.512;-78.931;;-128.782;-59.41;-196.692;30.714;-31.248;20.474
2510;44.519;142.145;78.862;-131.852;-140.183;;-58.479;-83.651;;-122.731;-57.919;-199.44;30.193;-29.826;19.534
2520;56.623;156.077;94.743;-131.357;-145.539;;-59.537;-88.41;;-117.452;-58.519;-202.011;32.326;-28.617;19.961
2530;70.124;169.881;110.286;-129.77;-155.364;;-59.674;-93.317;;-114.219;-59.326;-202.367;35.114;-26.297;21.977
2540;83.236;182.999;125.603;-129.934;-163.28;;-59.818;-98.462;;-112.726;-58.989;-197.876;38.161;-23.692;24.676
2550;96.346;195.316;139.392;-130.112;-163.716;;-60.092;-103.074;;-112.509;-59.006;-192.615;39.55;-20.236;26.836
2560;109.204;206.876;153.052;-129.989;-164.152;;-60.959;-107.012;;-112.498;-59.527;-185.434;39.63;-17.041;28.148
2570;120.916;215.145;166.808;-128.371;-157.178;;-61.859;-111.79;;-111.734;-58.359;-176.995;39.439;-13.139;29.103
2580;132.526;222.255;181.072;-126.858;-155.163;;-61.68;-116.753;;-111.468;-55.71;-171.121;39.211;-8.748;29.019
2590;145.578;229.556;194.058;-125.393;-152.734;;-61.29;-122.697;;-109.877;-54.197;-168.575;38.377;-5.479;30.88
2600;159.534;237.647;206.076;-125.088;-150.505;;-60.148;-128.901;;-107.879;-51.114;-165.709;36.328;-3.749;34.542
2610;173.651;245.428;218.481;-125.233;-149.172;;-57.766;-134.49;;-101.021;-46.902;-162.884;33.05;-2.065;33.403
2620;184.395;253.047;229.076;-124.863;-150.521;;-55.652;-140.381;;-91.148;-40.226;-158.495;30.248;0.524;32.382
2630;196.023;261.088;237.848;-124.487;-151.767;;-52.428;-145.582;;-81.941;-31.032;-150.946;29.277;4.146;36.168
2640;207.277;268.612;245.714;-123.28;-151.865;;-48.793;-149.919;;-73.861;-20.968;-139.963;29.574;8.726;36.101
2650;216.705;276.331;252.001;-122.193;-151.072;;-45.229;-153.974;;-64.468;-10.852;-128.855;28.99;14.381;35.483
2660;226.841;283.091;257.687;-122.697;-150.272;;-42.465;-159.538;;-56.556;-1.608;-114.124;28.996;20.748;33.561
2670;236.64;288.563;262.903;-125.519;-148.617;;-39.901;-165.262;;-46.654;7.981;-99.086;28.032;26.301;33.652
2680;246.763;293.03;265.716;-121.138;-147.404;;-38.777;-171.433;;-35.194;15.615;-83.612;26.985;30.054;31.611
2690;256.931;298.506;269.408;-118.957;-145.553;;-37.371;-174.114;;-26.103;29.811;-67.585;24.872;33.952;30.105
2700;266.515;302.226;275.804;-116.841;-143.702;;-35.806;-174.182;;-18.083;42.713;-51.743;23.57;39.263;27.446
2710;274.486;301.161;281.76;-114.156;-141.512;;-34.112;-173.559;;-11.807;54.088;-35.604;22.132;46.337;25.487
2720;283.924;299.872;286.823;-109.759;-139.777;;-32.397;-171.763;;-7.578;65.36;-17.019;20.581;50.89;27.142
2730;295.197;297.948;289.232;-106.112;-138.11;;-31.363;-168.679;;-4.513;76.589;6.99;21.859;53.604;28.175
2740;304.353;294.305;291.832;-102.708;-136.924;;-30.28;-163.502;;-1.21;84.658;32.103;22.415;58.037;28.564
2750;312.388;290.4;291.716;-100.33;-134.977;;-28.993;-159.279;;0.203;91.132;57.217;23.451;63.012;28.606
2760;322.222;286.465;292.379;-97.938;-131.154;;-26.734;-155.599;;3.519;95.546;83.422;24.56;67.596;27.888
2770;331.079;281.836;294.763;-96.546;-127.546;;-24.295;-150.919;;8.019;99.946;109.574;21.626;71.247;25.48
2780;339.228;276.234;296.793;-91.807;-122.098;;-22.737;-146.503;;14.497;103.036;135.473;18.277;73.582;21.724
2790;347.356;269.81;296.977;-85.177;-118.101;;-21.623;-143.392;;24.485;105.578;160.937;15.175;74.259;18.443
2800;353.582;263.939;297.406;-76.535;-113.975;;-20.67;-140.559;;34.702;108.474;186.6;13.993;73.884;16.521
2810;357;257.888;296.932;-69.349;-110.244;;-19.641;-137.337;;45.726;109.232;209.163;14.441;74.415;15.61
