timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;;;20: frq7-.1;21: frq7-.2;22: frq7-.3;23: frq9+.2;24: frq9+.3;;25: frq10+.1;26: frq10+.3
2310;-286.087;-274.451;-144.141;23.804;;;-127.059;-95.986;-86.898;46.177;170.662;;175.028;-84.96
2320;-279.801;-277.106;-143.719;36.863;;;-129.873;-95.165;-88.67;43.079;179.026;;190.247;-75.221
2330;-273.859;-279.64;-143.852;50.019;;;-133.248;-94.917;-90.657;39.526;187.75;;203.898;-65.001
2340;-268.531;-281.746;-144.251;63.575;;;-136.258;-95.299;-98.382;36.772;196.839;;217.647;-56.423
2350;-266.342;-282.941;-142.615;78.811;;;-138.799;-95.572;-107.863;34.406;206.788;;234.519;-47.777
2360;-262.359;-283.57;-138.24;96.145;;;-140.497;-94.628;-114.112;32.199;213.458;;250.313;-40.41
2370;-258.324;-283.61;-133.768;113.43;;;-144.714;-93.095;-118.886;29.957;220.615;;268.781;-32.134
2380;-256.356;-282.786;-128.492;133.197;;;-148.542;-91.775;-121.673;27.556;228.012;;288.181;-24.479
2390;-253.941;-281.953;-122.872;152.567;;;-152.217;-89.874;-123.425;25.81;232.644;;306.599;-15.901
2400;-250.753;-281.644;-117.299;172.174;;;-154.792;-88.523;-125.928;24.423;235.516;;323.503;-4.992
2410;-248.359;-280.046;-114.735;191.695;;;-157.014;-87.902;-131.222;22.548;236.08;;337.899;5.759
2420;-246.29;-278.654;-112.684;209.877;;;-158.381;-87.837;-137.334;21.632;235.054;;351.925;17.299
2430;-246.131;-277.389;-111.137;225.234;;;-157.284;-89.189;-143.967;21.081;232.901;;366.175;27.357
2440;-245.221;-275.207;-109.479;240.626;;;-155.007;-90.109;-149.734;21.571;229.512;;379.352;37.015
2450;-244.299;-272.472;-109.167;251.292;;;-152.132;-90.692;-152.506;22.012;223.323;;390.083;47.371
2460;-239.465;-268.497;-108.807;256.957;;;-149.95;-91.4;-156.698;21.534;215.07;;399.444;58.259
2470;-229.757;-263.526;-108.215;262.183;;;-149.396;-92.484;-161.31;20.979;205.818;;403.542;68.161
2480;-221.713;-257.705;-107.92;265.655;;;-148.888;-93.441;-167.254;18.705;197.228;;405.59;76.646
2490;-214.581;-249.044;-106.943;268.433;;;-148.379;-94.557;-173.481;15.767;188.13;;403.837;84.668
2500;-206.683;-239.96;-105.92;271.108;;;-148.567;-96.553;-178.463;14.429;179.272;;397.433;93.552
2510;-199.057;-231.939;-104.8;275.05;;;-148.433;-97.836;-182.073;13.283;172.578;;390.423;102.552
2520;-189.469;-224.999;-102.538;278.121;;;-147.528;-98.538;-186.963;13.577;165.164;;382.637;110.873
2530;-180.05;-215.768;-97.439;281.785;;;-146.841;-99.519;-188.924;15.775;158.154;;375.801;119.67
2540;-170.679;-206.629;-92.305;284.381;;;-146.258;-100.288;-192.023;16.654;150.364;;368.742;125.654
2550;-160.272;-194.33;-87.252;287.073;;;-145.877;-101.553;-194.726;18.069;143.841;;361.847;128.917
2560;-152.048;-181.626;-80.399;286.265;;;-145.335;-103.415;-197.941;18.164;137.263;;354.327;132.794
2570;-147.164;-169.004;-73.497;282.71;;;-145.274;-105.353;-201.16;17.902;131.126;;346.526;136.419
2580;-142.942;-157.222;-67.339;279.211;;;-145.625;-106.764;-203.237;16.56;123.058;;338.137;140.124
2590;-136.388;-145.632;-61.113;275.539;;;-146.612;-108.241;-200.691;14.343;113.75;;327.505;143.668
2600;-129.593;-134.236;-58.905;270.306;;;-146.673;-109.898;-197.441;10.771;104.037;;315.756;146.892
