timepoints (min);16: frq7+.1;17: frq7+.2;;18: frq1-.1;19: frq1-.2;20: frq1-.3;21: frq7-.1;22: frq7-.2;23: frq7-.3;24: frq9+.1;25: frq9+.2;26: frq9+.3;27: frq10+.1;28: frq10+.2;29: frq10+.3
2750;-114.506;-32.484;;19.934;93.972;74.67;-57.172;2.775;-48.603;80.611;176.261;-78.086;116.397;-80.223;75.97
2760;-123.981;-32.891;;7.869;80.439;66.848;-54.12;3.186;-41.945;62.683;191.061;-85.745;97.339;-70.927;76.588
2770;-133.695;-33.298;;-4.251;68.894;60.56;-51.012;3.866;-35.32;46.835;206.697;-93.877;78.109;-62.37;77.392
2780;-141.219;-33.661;;-15.12;57.335;53.152;-48.036;6.549;-26.12;31.636;222.672;-101.501;64.852;-54.033;78.608
2790;-147.579;-30.937;;-24.941;48.211;44.31;-44.265;9.16;-16.411;17.95;240.728;-109.098;49.924;-44.121;80.012
2800;-153.048;-28.212;;-34.768;41.302;35.389;-40.488;12.782;-4.692;5.997;259.788;-116.775;35.199;-32.727;79.483
2810;-157.93;-23.196;;-43.469;33.392;26.266;-34.499;15.171;8.043;-7.72;276.825;-124.585;19.917;-22.563;76.421
2820;-161.986;-18.404;;-51.623;25.443;18.499;-27.508;17.67;20.065;-18.39;292.559;-132.705;5.106;-12.274;73.476
2830;-165.989;-13.612;;-59.757;17.943;10.772;-20.241;20.484;31.788;-28.835;308.251;-137.879;-9.349;-1.684;68.891
2840;-168.221;-5.45;;-65.599;10.425;6.548;-12.923;23.579;43.234;-39.123;323.465;-141.462;-23.459;10.302;63.97
2850;-170.039;6.303;;-70.113;3.676;3.963;-5.972;28.659;54.509;-50.305;337.428;-144.828;-38.015;23.599;60.094
