timepoints (min);30: frq9-.1;31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.3;;41: wc-1-.1;42: wc-1-.2;43: wc-1-.3
1680;-38.757;39.873;-7.541;48.777;-16.632;20.608;-27.426;-58.343;-3.84;-6.746;7.717;;11.21;-8.727;-8.834
1690;-44.4;37.091;-11.872;43.383;-14.803;11.032;-28.443;-57.425;-5.186;-6.727;5.116;;8.418;-13.96;-9.937
1700;-49.374;34.869;-15.623;37.298;-8.815;3.348;-29.212;-56.563;-6.117;-6.908;2.834;;6.32;-19.177;-9.917
1710;-54.348;32.906;-17.487;31.001;-3.392;-2.55;-31.404;-57.921;-6.371;-6.648;1.201;;4.713;-24.563;-9.939
1720;-59.908;31.295;-18.748;24.921;2.258;-8.288;-34.654;-58.051;-6.548;-6.43;-0.432;;3.655;-27.564;-9.032
1730;-66.059;29.564;-19.67;17.498;5.83;-13.007;-37.445;-57.699;-6.657;-6.123;-2.217;;3.4;-29.872;-7.364
1740;-73.428;28.047;-20.273;7.865;7.83;-16.462;-40.31;-57.396;-6.939;-5.815;-2.641;;2.817;-32.352;-5.206
1750;-81.283;26.81;-20.821;-0.92;9.272;-20.659;-44.327;-57.868;-7.577;-5.148;-2.866;;2.491;-35.014;-2.792
1760;-89.221;26.599;-20.286;-7.69;9.912;-24.728;-48.167;-59.156;-7.946;-4.659;-2.85;;1.585;-37.386;-2.332
1770;-95.847;28.668;-19.079;-11.63;10.847;-29.614;-51.32;-60.927;-8.612;-4.29;-2.833;;-0.001;-38.756;-4.13
1780;-102.632;29.059;-17.139;-15.935;12.498;-35.354;-55.127;-62.705;-9.239;-3.92;-2.686;;-1.074;-39.432;-5.766
1790;-106.865;28.531;-14.08;-18.127;15.359;-38.655;-58.821;-63.116;-10.218;-4.015;-2.618;;-2.793;-38.811;-6.181
1800;-111.043;27.97;-10.91;-17.348;18.167;-40.895;-60.981;-62.288;-11.542;-3.931;-3.07;;-4.699;-38.983;-3.814
1810;-112.088;25.568;-7.581;-17.223;21.916;-43.095;-64.245;-61.228;-12.679;-4.247;-2.771;;-6.737;-38.739;-0.283
1820;-111.743;23.796;-3.735;-19.168;25.266;-43.637;-66.378;-60.006;-13.821;-4.563;-2.541;;-8.968;-38.222;2.986
1830;-110.021;21.091;0.714;-22.338;30.499;-46.993;-69.443;-59.348;-14.772;-5.419;-2.31;;-10.821;-36.288;5.328
1840;-107.033;18.306;5.244;-26.81;33.599;-49.741;-71.79;-59.2;-16.745;-6.31;-1.6;;-11.99;-33.524;4.91
1850;-104.08;17.59;10.07;-31.593;33.567;-51.839;-74.117;-59.346;-19.037;-8.001;-0.89;;-12.223;-30.633;3.992
1860;-101.552;15.954;13.057;-34.643;33.119;-53.326;-77.462;-59.268;-21.641;-7.732;0.055;;-10.99;-28.124;3.966
1870;-98.782;13.156;15.297;-38.454;31.273;-52.869;-81.389;-59.332;-23.858;-7.408;0.959;;-10.48;-26.404;2.524
1880;-97.506;10.557;17.582;-40.957;31.237;-50.047;-85.179;-59.592;-26.32;-7.126;1.862;;-10.073;-23.553;2.281
1890;-95.892;8.255;20.108;-43.029;30.983;-47.065;-88.673;-59.852;-29.328;-6.563;4.686;;-11.051;-22.232;3.513
1900;-95.543;6.393;22.661;-45.127;33.571;-45.026;-92.514;-60.137;-32.352;-4.92;7.509;;-14.383;-20.88;4.72
1910;-96.314;3.259;25.654;-45.746;36.543;-45.414;-96.446;-60.614;-35.123;-3.126;9.926;;-17.629;-20.011;6.117
1920;-96.895;-0.274;28.617;-46.879;39.596;-46.615;-99.883;-61.337;-37.659;-0.484;12.735;;-20.914;-18.901;6.927
1930;-98.742;-0.719;31.11;-48.691;39.041;-48.203;-102.983;-65.469;-40.626;2.157;15.545;;-23.254;-16.521;7.861
1940;-100.286;-1.742;33.124;-50.635;38.801;-49.883;-105.252;-66.949;-43.746;2.759;16.794;;-24.877;-12.819;7.743
1950;-102.705;-3.326;37.552;-53.566;32.644;-51.919;-107.179;-68.277;-47.102;3.429;18.044;;-28.928;-9.737;8.941
1960;-104.793;-4.097;40.579;-55.526;27.695;-53.115;-108.268;-67.945;-50.901;3.763;19.073;;-32.869;-7.531;11.039
1970;-107.748;-5.268;42.975;-56.512;21.022;-52.393;-109.101;-68.549;-54.921;4.097;20.095;;-35.705;-6.801;13.302
1980;-110.688;-4.832;43.796;-56.648;15.913;-51.163;-110.415;-68.916;-58.669;4.284;20.837;;-36.935;-7.25;12.557
1990;-112.466;-3.876;42.254;-54.821;10.894;-50.055;-112.363;-69.276;-62.593;4.651;20.219;;-38.873;-7.914;11.142
2000;-114.135;-2.83;40.374;-52.514;6.812;-48.821;-113.617;-69.123;-66.484;4.658;19.601;;-41.052;-8.2;11.131
2010;-115.894;-3.185;38.894;-51.375;3.479;-47.786;-115.583;-68.956;-70.153;4.665;19.239;;-43.683;-9.543;11.337
2020;-118.673;-5.075;37.386;-50.906;-0.434;-47.232;-117.414;-68.324;-73.993;6.582;18.559;;-45.326;-11.971;12.982
2030;-121.335;-7.284;34.858;-49.412;-3.523;-45.743;-117.823;-67.892;-77.251;8.658;18.959;;-47.594;-14.694;13.436
2040;-125.31;-8.719;30.564;-47.752;-7.164;-45.228;-118.004;-67.683;-80.49;11.054;19.439;;-49.005;-17.295;13.91
2050;-129.286;-11.261;26.181;-47.888;-9.912;-45.897;-119.425;-68.112;-83.777;13.45;20.312;;-50.508;-19.993;12.819
2060;-133.96;-11.963;20.797;-48.757;-11.843;-45.566;-119.88;-69.265;-87.423;15.535;21.185;;-51.578;-23.058;8.92
2070;-138.6;-12.961;15.331;-49.098;-13.454;-45.153;-120.999;-70.454;-91.097;17.324;22.023;;-51.568;-26.281;4.01
2080;-143.855;-12.8;11.375;-47.621;-15.43;-42.101;-121.705;-71.56;-94.437;19.633;21.782;;-51.87;-29.99;-0.521
2090;-149.556;-9.788;7.33;-46.404;-19.204;-39.298;-122.608;-72.004;-97.417;20.622;21.101;;-52.154;-33.145;-0.898
2100;-154.659;-9.775;4.05;-47.508;-23.331;-38.48;-123.051;-72.68;-99.941;21.694;20.509;;-51.712;-35.476;1.914
2110;-158.051;-9.708;1.13;-47.521;-27.964;-42.172;-121.45;-73.535;-102.157;20.702;19.917;;-51.486;-38.414;-0.898
2120;-161.608;-9.24;-1.597;-47.12;-31.938;-46.023;-119.852;-74.528;-104.419;19.71;19.477;;-50.905;-40.112;-1.959
2130;-162.357;-8.977;-4.044;-49.643;-35.646;-52.141;-117.508;-74.559;-106.276;18.759;19.037;;-50.361;-40.875;-2.539
2140;-162.975;-8.393;-6.222;-51.604;-39.332;-57.749;-115.383;-74.126;-108.036;18.524;17.517;;-49.21;-39.203;-4.199
2150;-161.932;-8.612;-8.164;-51.03;-45.172;-61.48;-112.593;-73.047;-109.986;17.127;15.79;;-46.985;-36.938;-5.644
2160;-160.648;-6.652;-10.026;-49.833;-49.153;-63.937;-109.203;-72.21;-112.212;15.73;14.063;;-45.174;-34.939;-7.53
2170;-158.561;-4.292;-11.481;-46.244;-51.986;-67.23;-105.532;-70.421;-114.139;14.92;12.281;;-43.517;-33.433;-7.956
2180;-156.527;-1.146;-12.177;-40.371;-51.501;-68.742;-102.6;-68.961;-115.905;13.924;10.939;;-41.819;-32.91;-9.206
2190;-152.963;2.6;-12.817;-35.697;-52.662;-70.203;-100.461;-67.89;-117.45;14.968;11.237;;-39.157;-32.732;-10.243
