timepoints (min);46: wc-2,- -2;47: wc-2,- -3
7880;8.145;0.953
7890;7.203;2.041
7900;5.781;0.69
7910;3.879;-0.662
7920;1.908;-2.014
7930;0.233;-0.843
7940;-1.281;0.328
7950;0.857;1.499
7960;2.553;2.67
7970;5.13;3.841
7980;4.026;5.012
7990;2.557;6.183
8000;1.661;7.354
8010;-0.636;8.526
8020;-3.036;9.697
8030;-4.981;10.868
8040;-7.526;13.156
8050;-7.91;15.444
8060;-8.364;17.732
8070;-9.087;19.41
8080;-8.65;21.087
8090;-8.337;22.764
8100;-8.575;24.441
8110;-7.174;26.119
8120;-6.372;27.796
8130;-5.157;29.473
8140;-4.19;31.15
8150;-1.063;32.828
8160;2.263;34.505
8170;5.583;36.182
8180;10.023;35.44
8190;14.303;34.698
8200;18.239;33.956
8210;22.312;32.964
8220;24.945;31.972
8230;27.564;30.981
8240;30.411;29.989
8250;31.618;28.997
8260;34.105;28.006
8270;36.633;27.014
8280;39.354;26.022
8290;42.076;25.03
8300;44.956;24.039
8310;47.767;23.047
8320;48.978;22.846
8330;49.149;22.644
8340;49.52;22.443
8350;49.243;23.081
8360;46.646;23.81
8370;44.076;24.538
8380;41.065;25.266
8390;40.134;25.995
8400;37.523;26.723
8410;34.746;27.451
8420;34.192;28.179
8430;32.517;28.908
8440;30.788;29.636
8450;29.279;30.364
8460;27.21;30.887
8470;25.701;31.41
8480;24.461;31.932
8490;20.666;30.695
8500;18.512;29.879
8510;16.44;29.062
8520;14.348;28.246
8530;10.535;27.429
8540;7.323;26.612
8550;3.338;25.796
8560;1.913;24.979
8570;2.088;24.163
8580;2.898;23.346
8590;3.673;22.53
8600;1.128;20.115
8610;-0.716;17.699
8620;-2.443;15.284
8630;-6.81;12.869
8640;-13.257;8.476
8650;-20.076;4.083
8660;-26.861;-0.31
8670;-33.846;-4.703
8680;-40.851;-9.097
8690;-47.946;-13.49
8700;-51.841;-17.883
8710;-55.177;-22.276
8720;-58.408;-26.669
8730;-61.702;-31.062
8740;-61.236;-32.764
8750;-60.852;-34.466
8760;-60.407;-36.168
8770;-59.921;-37.87
8780;-57.716;-38.146
8790;-55.483;-38.422
8800;-53.139;-38.698
8810;-54.156;-38.974
8820;-55.021;-39.25
8830;-55.823;-39.526
8840;-57.946;-39.801
8850;-56.749;-40.077
8860;-55.772;-40.353
8870;-54.706;-40.629
8880;-52.12;-41.057
8890;-49.637;-39.644
8900;-47.513;-38.232
8910;-44.989;-36.819
8920;-44.025;-35.039
8930;-42.881;-33.258
8940;-41.331;-31.477
8950;-39.221;-29.697
8960;-36.828;-27.916
8970;-34.048;-26.135
8980;-28.709;-24.354
8990;-24.81;-22.574
9000;-20.621;-20.793
9010;-16.646;-19.012
9020;-15.39;-17.232
9030;-13.942;-17.27
9040;-12.204;-17.309
9050;-11.746;-17.348
9060;-10.488;-17.545
9070;-9.327;-17.742
9080;-7.883;-17.939
9090;-3.759;-18.137
9100;0.083;-18.334
9110;3.414;-18.531
9120;6.865;-18.728
9130;11.436;-18.925
9140;15.903;-19.123
9150;21.799;-19.32
9160;27.294;-19.517
9170;32.513;-19.917
9180;37.408;-20.317
9190;42.503;-20.717
9200;43.839;-16.572
9210;45.057;-12.428
9220;45.601;-8.283
9230;43.586;-4.138
9240;41.93;0.007
9250;40.59;4.152
9260;39.051;8.297
9270;40.495;12.441
9280;41.732;16.586
9290;43.49;20.731
9300;46.527;24.876
9310;49.468;29.565
9320;52.194;34.255
9330;55.281;38.945
9340;56.608;37.931
9350;58.087;36.917
9360;59.206;35.903
9370;60.204;34.89
9380;60.906;33.876
9390;61.477;32.862
9400;60.208;31.848
9410;59.381;30.834
9420;58.305;29.821
9430;56.869;28.807
9440;55.233;27.793
9450;53.025;22.359
9460;51.223;16.924
9470;49.582;11.49
9480;47.486;6.935
9490;45.12;2.063
9500;44.835;-2.808
9510;44.749;-7.68
9520;44.932;-12.552
9530;44.93;-17.423
9540;42.047;-22.295
9550;39.716;-27.167
9560;37.295;-32.039
9570;32.634;-36.91
9580;27.614;-41.782
9590;22.841;-41.123
9600;17.924;-40.463
9610;14.607;-39.804
9620;11.297;-39.145
9630;7.959;-33.786
9640;2.941;-28.428
9650;-1.437;-23.069
9660;-5.953;-17.71
9670;-10.138;-12.352
9680;-15.603;-6.993
9690;-21.295;-1.634
9700;-26.567;3.724
9710;-28.879;9.083
9720;-30.67;14.441
9730;-32.655;19.044
9740;-34.668;23.647
9750;-40.08;28.25
9760;-45.423;32.852
9770;-51.105;35.705
9780;-54.906;38.557
9790;-56.348;41.41
9800;-57.141;44.262
9810;-58.244;47.115
9820;-57.148;49.967
9830;-55.61;52.819
9840;-54.348;55.672
9850;-54.926;58.524
9860;-56.743;61.377
9870;-59.023;64.567
9880;-60.207;63.237
9890;-59.71;61.908
9900;-59.434;60.578
9910;-58.793;57.214
9920;-56.912;53.85
9930;-53.39;50.485
9940;-48.945;47.121
9950;-45.379;43.757
9960;-44.774;40.393
9970;-44.148;37.029
9980;-43.218;33.665
9990;-41.528;30.301
10000;-38.312;26.937
10010;-35.254;23.607
10020;-30.756;22.117
10030;-28.138;20.628
10040;-25.527;19.138
10050;-22.916;18.527
10060;-22.665;17.916
10070;-22.236;17.305
10080;-21.807;16.694
10090;-19.818;16.083
10100;-15.892;15.382
10110;-12.001;14.681
10120;-7.897;13.981
10130;-3.912;13.28
10140;0.163;12.579
10150;4.472;11.879
10160;9.301;13.178
10170;12.89;14.477
10180;15.982;16.08
10190;19.074;15.992
10200;23.273;15.903
10210;27.41;15.815
10220;31.546;15.727
10230;35.905;15.639
10240;39.503;15.55
10250;42.992;15.462
10260;46.68;15.526
10270;47.008;15.589
10280;47.178;15.652
10290;47.348;15.716
10300;45.077;15.659
10310;45.25;15.603
10320;45.332;15.546
10330;45.415;14.921
10340;44.132;13.738
10350;43.208;12.554
10360;42.284;11.371
10370;43.168;10.188
10380;42.972;9.004
10390;42.301;7.821
10400;41.629;6.637
10410;42.237;5.454
10420;42.514;3.822
10430;42.792;2.19
10440;44.669;1.319
10450;45.375;0.447
10460;46.295;-0.425
10470;46.946;-3.257
10480;48.037;-5.309
10490;48.839;-7.361
10500;49.75;-9.517
10510;48.542;-11.673
10520;49.254;-13.829
10530;49.269;-15.985
10540;45.284;-18.141
10550;43.739;-20.297
10560;42.457;-22.452
10570;41.174;-24.608
10580;38.359;-26.451
10590;35.383;-28.294
10600;32.181;-30.137
10610;30.284;-32.179
10620;26.428;-34.539
10630;22.895;-36.899
10640;19.727;-39.259
10650;16.559;-41.619
10660;11.577;-43.324
10670;5.108;-45.029
10680;-1.361;-46.734
10690;-9.444;-48.439
10700;-18.404;-49.623
10710;-27.364;-50.808
10720;-37.937;-50.033
10730;-48.902;-49.258
10740;-59.716;-48.717
10750;-71.89;-48.177
10760;-81.943;-47.981
10770;-91.618;-47.785
10780;-98.052;-49.349
10790;-100.487;-50.913
10800;-99.423;-52.477
10810;-98.36;-54.041
10820;-97.297;-55.606
10830;-94.654;-57.521
10840;-91.88;-59.437
10850;-89.058;-61.353
10860;-88.316;-63.949
10870;-87.326;-66.545
10880;-85.775;-69.141
10890;-84.465;-71.737
10900;-83.154;-74.312
10910;-82.566;-76.666
10920;-80.497;-79.021
10930;-78.255;-81.375
10940;-75.945;-80.49
10950;-73.074;-80.124
10960;-70.466;-79.759
10970;-65.738;-79.393
10980;-60.823;-79.028
10990;-55.233;-78.972
11000;-48.283;-78.917
11010;-41.429;-78.862
11020;-34.895;-76.207
11030;-31.601;-71.792
11040;-28.521;-67.508
11050;-26.937;-63.223
11060;-25.352;-58.939
11070;-22.179;-55.028
11080;-18.619;-51.116
11090;-15.059;-47.204
