timepoints (min);30: frq9-.1;31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.2;;41: wc-1-.1;42: wc-1-.3
2760;-133.087;-76.619;-67.346;-21.597;-92.633;-39.903;114.701;1.774;-38.221;94.087;26.423;;131.044;-20.462
2770;-141.135;-74.462;-75.57;-21.884;-90.858;-41.945;113.538;-4.121;-37.433;91.32;21.068;;123.705;-22.266
2780;-144.585;-71.796;-83.428;-21.924;-90.131;-44.221;112.396;-7.88;-36.761;85.297;15.71;;116.263;-24.076
2790;-144.025;-68.759;-92.214;-20.949;-89.342;-48.004;110.703;-9.229;-35.437;79.273;12.637;;112.063;-26.436
2800;-143.31;-70.79;-101.086;-20.152;-89.121;-51.014;108.844;-9.076;-34.095;73.545;10.05;;110.186;-28.702
2810;-144.731;-73.08;-109.957;-19.759;-87.12;-51.639;106.512;-10.015;-32.781;68.374;7.785;;107.961;-30.992
2820;-148.12;-74.585;-115.014;-19.848;-84.479;-52.359;105.534;-10.61;-31.586;63.203;6.273;;104.626;-32.823
2830;-151.97;-72.17;-117.342;-20.377;-81.426;-50.996;104.615;-11.476;-30.483;55.808;4.452;;99.291;-33.777
2840;-150.935;-66.862;-120.339;-20.989;-78.308;-50.881;101.636;-12.346;-29.45;50.731;1.548;;95.506;-34.633
2850;-148.473;-66.212;-123.095;-21.359;-75.299;-46.858;97.886;-12.931;-27.948;45.654;-1.142;;92.782;-34.817
2860;-146.881;-64.401;-125.956;-21.459;-71.684;-39.868;94.328;-13.527;-24.949;43.617;-3.15;;91.895;-34.08
2870;-146.517;-60.83;-128.273;-21.028;-67.628;-31.663;90.659;-14.851;-22.204;40.753;-4.415;;93.629;-33.29
2880;-146.225;-54.637;-130.59;-20.731;-63.85;-21.172;87.719;-16.428;-17.298;37.848;-4.622;;92.608;-32.201
2890;-147.869;-53.23;-132.846;-20.059;-60.714;-11.386;84.894;-18.088;-12.903;32.524;-6.309;;86.483;-31.126
2900;-152.509;-53.088;-135.343;-18.629;-59.028;1.866;81.285;-19.946;-9.297;27.041;-7.804;;80.412;-31.08
2910;-160.626;-53.906;-137.199;-18.141;-56.87;10.814;78.143;-21.687;-6.69;22.356;-10.996;;74.661;-31.781
2920;-167.01;-53.448;-139.054;-19.531;-54.189;18.731;74.001;-23.177;-1.724;16.971;-13.257;;69.808;-30.258
2930;-173.139;-52.381;-138.461;-18.68;-50.422;28.713;70.705;-24.549;1.938;10.028;-15.305;;65.957;-28.418
2940;-172.037;-49.472;-138.757;-17.913;-44.217;37.21;67.783;-24.047;5.305;2.286;-18.292;;60.961;-25.808
2950;-168.629;-46.203;-139.026;-16.302;-35.851;45.607;65.287;-22.19;7.738;-5.36;-20.433;;53.743;-24.124
